epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,397.329,2.94819,2.19952,1.5703,0.66519,0.28934,0.34906,0.16694,2.80725,3.56596,1.20313,0.0684047,0.00166291,0.00166291
2,497.818,2.13105,1.51474,1.1978,0.62716,0.38883,0.44107,0.20937,2.37563,5.74056,1.06078,0.036727,0.00331859,0.00331859
3,597.667,1.98983,1.40824,1.15807,0.7387,0.3444,0.40095,0.22359,2.40668,14.2724,1.06562,0.00503835,0.00496327,0.00496327
4,697.362,1.94336,1.35319,1.13596,0.77793,0.4335,0.52873,0.2999,2.17865,3.00864,1.02068,0.0049505,0.0049505,0.0049505
5,798.061,1.85526,1.27704,1.10528,0.73314,0.4853,0.56522,0.31133,2.11854,5.1449,1.00597,0.004934,0.004934,0.004934
6,898.057,1.81432,1.22572,1.09097,0.76964,0.45178,0.57383,0.34019,2.17862,2.15632,1.01109,0.0049175,0.0049175,0.0049175
7,997.312,1.79522,1.20732,1.08728,0.73526,0.49848,0.57981,0.33851,2.10982,2.51315,1.01679,0.004901,0.004901,0.004901
8,1098.23,1.76021,1.16922,1.07432,0.76926,0.53706,0.62718,0.35531,2.01776,2.2513,0.97891,0.0048845,0.0048845,0.0048845
9,1197.23,1.73821,1.1634,1.06885,0.80472,0.5533,0.64986,0.37595,1.99989,2.21234,0.97527,0.004868,0.004868,0.004868
10,1295.94,1.72003,1.13282,1.06455,0.74922,0.49645,0.60876,0.36215,1.96749,1.81481,0.97624,0.0048515,0.0048515,0.0048515
11,1396.59,1.71002,1.1164,1.05661,0.75705,0.56751,0.65171,0.35903,1.96365,1.99711,0.97632,0.004835,0.004835,0.004835
12,1494.39,1.70088,1.12377,1.05839,0.74688,0.53299,0.60552,0.35509,2.03912,3.66698,0.99346,0.0048185,0.0048185,0.0048185
13,1592.93,1.68592,1.09753,1.05147,0.75046,0.55431,0.64154,0.37394,1.97927,1.86939,0.98297,0.004802,0.004802,0.004802
14,1693.13,1.67321,1.0837,1.04578,0.78499,0.56345,0.65827,0.35666,1.95304,3.09694,0.96906,0.0047855,0.0047855,0.0047855
15,1791.58,1.65915,1.07375,1.04519,0.76363,0.56413,0.65184,0.38906,1.94475,3.23092,0.97437,0.004769,0.004769,0.004769
16,1891.88,1.66347,1.07023,1.04354,0.82847,0.54619,0.66637,0.38018,1.90623,1.9219,0.96918,0.0047525,0.0047525,0.0047525
17,1991.44,1.65404,1.06037,1.04112,0.79667,0.55533,0.65518,0.39292,1.83405,3.68562,0.95139,0.004736,0.004736,0.004736
18,2092.02,1.6364,1.04808,1.03157,0.83355,0.5797,0.69144,0.39026,1.85474,1.71263,0.95357,0.0047195,0.0047195,0.0047195
19,2194.36,1.64443,1.04916,1.03409,0.83497,0.57462,0.69163,0.40159,1.8331,2.4594,0.94917,0.004703,0.004703,0.004703
20,2293.56,1.63728,1.02888,1.03296,0.81667,0.55939,0.66096,0.39918,1.90889,2.00751,0.9724,0.0046865,0.0046865,0.0046865
