epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.098,2.78797,2.11918,1.558,0.61948,0.32995,0.38208,0.19873,2.36542,8.38003,1.09644,0.0684047,0.00166291,0.00166291
2,380.265,2.08383,1.49489,1.21982,0.65836,0.38985,0.45332,0.24453,2.37117,6.25142,1.07907,0.036727,0.00331859,0.00331859
3,506.475,1.9466,1.35407,1.16142,0.68963,0.43249,0.5049,0.28188,2.21401,3.37217,1.02935,0.00503835,0.00496327,0.00496327
4,633.318,1.87418,1.27109,1.12981,0.71759,0.46396,0.54572,0.31052,2.06176,3.28729,0.99987,0.0049505,0.0049505,0.0049505
5,760.149,1.81182,1.22239,1.11087,0.75045,0.47411,0.56239,0.3385,1.97755,2.61263,0.99175,0.004934,0.004934,0.004934
6,886.204,1.78277,1.18993,1.10115,0.73122,0.50254,0.58341,0.33553,1.92672,2.21294,0.96377,0.0049175,0.0049175,0.0049175
7,1010.21,1.75399,1.16449,1.09406,0.82385,0.53401,0.62331,0.35538,1.96095,2.81584,0.98159,0.004901,0.004901,0.004901
8,1135.41,1.73514,1.14645,1.07797,0.76145,0.55127,0.63733,0.3674,1.89109,2.5078,0.95672,0.0048845,0.0048845,0.0048845
9,1260.55,1.70509,1.11944,1.07458,0.81631,0.53909,0.64541,0.3218,2.02363,2.42051,0.99602,0.004868,0.004868,0.004868
10,1383.37,1.69354,1.10643,1.06685,0.85041,0.52893,0.65502,0.36728,1.83771,2.0363,0.93988,0.0048515,0.0048515,0.0048515
11,1507.09,1.67924,1.08625,1.06241,0.73759,0.55127,0.61869,0.31364,1.9911,6.25551,0.96994,0.004835,0.004835,0.004835
12,1631.8,1.67118,1.09197,1.05787,0.79535,0.52995,0.6414,0.37815,1.83234,1.98583,0.94373,0.0048185,0.0048185,0.0048185
13,1757.29,1.65226,1.06966,1.04879,0.77733,0.55289,0.65492,0.39252,1.88829,2.50443,0.96345,0.004802,0.004802,0.004802
14,1883.22,1.64962,1.06886,1.04608,0.83657,0.52589,0.64996,0.35323,1.88231,2.36257,0.95203,0.0047855,0.0047855,0.0047855
15,2006.25,1.62679,1.04448,1.03853,0.82387,0.54138,0.66575,0.4053,1.81125,2.09757,0.93546,0.004769,0.004769,0.004769
16,2128.49,1.62404,1.04508,1.04035,0.82635,0.56954,0.67256,0.37501,1.86568,1.92298,0.94558,0.0047525,0.0047525,0.0047525
17,2251.5,1.61122,1.03523,1.03865,0.77347,0.57056,0.66208,0.38078,1.86733,1.80456,0.94739,0.004736,0.004736,0.004736
18,2376.07,1.61045,1.0352,1.03008,0.79855,0.55431,0.66019,0.37684,1.9451,3.48686,0.95971,0.0047195,0.0047195,0.0047195
19,2502.85,1.59195,1.01698,1.02555,0.829,0.56601,0.67983,0.39765,1.73257,2.8309,0.92339,0.004703,0.004703,0.004703
20,2629.13,1.58733,1.01128,1.02004,0.80314,0.55502,0.67194,0.39657,1.78771,1.93346,0.93281,0.0046865,0.0046865,0.0046865
21,2755.17,1.58007,1.00669,1.01789,0.80196,0.60847,0.69935,0.40094,1.82397,2.51789,0.93672,0.00467,0.00467,0.00467
22,2880.63,1.57405,0.9967,1.0175,0.82167,0.61748,0.70953,0.41505,1.70075,2.41068,0.91583,0.0046535,0.0046535,0.0046535
23,3006.33,1.5693,0.99452,1.01375,0.82731,0.5797,0.68954,0.38017,1.83267,1.93587,0.93199,0.004637,0.004637,0.004637
