epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.509,2.91885,2.19586,1.57799,0.70498,0.31675,0.37477,0.18844,2.66969,5.49193,1.16882,0.0684047,0.00166291,0.00166291
2,347,2.11399,1.49868,1.19717,0.64833,0.39797,0.43832,0.21738,2.28733,8.76716,1.06146,0.036727,0.00331859,0.00331859
3,458.353,1.97268,1.38277,1.15042,0.66117,0.40102,0.45319,0.23066,2.25737,4.55605,1.02624,0.00503835,0.00496327,0.00496327
4,570.084,1.89714,1.30853,1.12483,0.74853,0.44422,0.51963,0.28719,2.22903,2.78421,1.04069,0.0049505,0.0049505,0.0049505
5,681.375,1.84285,1.26245,1.1034,0.76248,0.4335,0.52957,0.31149,2.17851,3.07789,1.03133,0.004934,0.004934,0.004934
6,793.59,1.80203,1.21009,1.08773,0.73939,0.46701,0.54462,0.32365,2.14418,3.68355,1.02372,0.0049175,0.0049175,0.0049175
7,905.021,1.77199,1.19051,1.07905,0.75693,0.43655,0.53498,0.31838,2.11009,4.65205,1.01331,0.004901,0.004901,0.004901
8,1015.75,1.74011,1.15258,1.06891,0.76143,0.51777,0.60152,0.33671,2.04899,3.72337,0.99206,0.0048845,0.0048845,0.0048845
9,1125.94,1.73176,1.1525,1.06607,0.78683,0.5198,0.61067,0.32921,2.00605,2.64738,0.96553,0.004868,0.004868,0.004868
10,1236.75,1.68962,1.11462,1.05512,0.77759,0.55725,0.64015,0.35733,1.94341,2.64524,0.96495,0.0048515,0.0048515,0.0048515
11,1347.45,1.70088,1.11202,1.05111,0.81155,0.54822,0.64853,0.37915,1.94203,2.82025,0.96766,0.004835,0.004835,0.004835
12,1457.74,1.67824,1.10309,1.05028,0.75137,0.5185,0.61045,0.34658,1.96986,3.70051,0.98465,0.0048185,0.0048185,0.0048185
13,1568.99,1.66427,1.08211,1.04287,0.76974,0.52893,0.62651,0.36741,1.98313,2.07253,0.96918,0.004802,0.004802,0.004802
14,1679.55,1.65124,1.07237,1.03721,0.78107,0.54619,0.64127,0.31812,1.96616,3.1296,0.96954,0.0047855,0.0047855,0.0047855
15,1790.09,1.6468,1.06779,1.04061,0.77527,0.5797,0.67692,0.39957,1.86987,3.66742,0.94555,0.004769,0.004769,0.004769
16,1900.7,1.6385,1.04979,1.03668,0.78468,0.57056,0.65676,0.35665,1.92281,2.39963,0.9568,0.0047525,0.0047525,0.0047525
17,2010.82,1.61467,1.03644,1.03001,0.81215,0.55635,0.6633,0.37582,1.85782,1.99788,0.95553,0.004736,0.004736,0.004736
18,2122,1.61564,1.03342,1.02426,0.84481,0.56925,0.68685,0.39357,1.93275,2.02892,0.96648,0.0047195,0.0047195,0.0047195
19,2232.63,1.61609,1.02252,1.02595,0.76916,0.61218,0.69168,0.4121,1.83958,3.04783,0.9441,0.004703,0.004703,0.004703
20,2343.67,1.61313,1.02017,1.02526,0.8537,0.5736,0.68764,0.40176,1.85934,2.02525,0.94938,0.0046865,0.0046865,0.0046865
21,2453.06,1.59528,1.01084,1.01563,0.84333,0.58376,0.69582,0.41172,1.79353,2.17856,0.94919,0.00467,0.00467,0.00467
22,2564.25,1.58438,0.99616,1.01138,0.8106,0.60305,0.69855,0.42476,1.81656,2.29908,0.9553,0.0046535,0.0046535,0.0046535
