epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.366,2.62232,2.36725,1.83057,0.55784,0.32792,0.36863,0.19257,2.24574,7.91023,1.40061,0.0684047,0.00166291,0.00166291
2,356.91,2.01453,1.75023,1.40727,0.67646,0.4264,0.49884,0.28084,1.99747,4.15302,1.2796,0.036727,0.00331859,0.00331859
3,483.298,1.9046,1.62186,1.34537,0.73387,0.45279,0.54839,0.30139,2.01251,4.64943,1.25898,0.00503835,0.00496327,0.00496327
4,610.998,1.85599,1.54854,1.31374,0.72054,0.48731,0.56426,0.33395,1.87233,3.68676,1.19187,0.0049505,0.0049505,0.0049505
5,738.62,1.80399,1.48013,1.27788,0.75476,0.47806,0.58289,0.35838,1.87626,2.98053,1.20165,0.004934,0.004934,0.004934
6,866.86,1.76493,1.4254,1.25343,0.78622,0.52273,0.61944,0.38185,1.8716,2.20457,1.1864,0.0049175,0.0049175,0.0049175
7,993.484,1.75129,1.40777,1.2465,0.75614,0.54416,0.62332,0.38375,1.87085,2.79065,1.19713,0.004901,0.004901,0.004901
8,1120.34,1.72201,1.3758,1.22751,0.80421,0.5588,0.65602,0.36875,1.77297,2.7558,1.12103,0.0048845,0.0048845,0.0048845
9,1246.57,1.70153,1.35406,1.21775,0.81301,0.56751,0.65784,0.38167,1.77344,3.37993,1.13971,0.004868,0.004868,0.004868
10,1372.86,1.68052,1.31627,1.21093,0.79166,0.54393,0.65156,0.38904,1.6724,1.91913,1.09696,0.0048515,0.0048515,0.0048515
11,1499.23,1.68154,1.31781,1.20118,0.8057,0.54416,0.66001,0.39779,1.70547,2.2278,1.12312,0.004835,0.004835,0.004835
12,1625.28,1.67378,1.31333,1.20517,0.78686,0.56751,0.66171,0.3948,1.71196,3.04413,1.11123,0.0048185,0.0048185,0.0048185
13,1751.17,1.65609,1.28111,1.18902,0.82438,0.54721,0.67893,0.42534,1.6631,1.8172,1.10298,0.004802,0.004802,0.004802
14,1876.7,1.65801,1.27612,1.19051,0.80954,0.61218,0.70818,0.39837,1.71234,1.98076,1.10305,0.0047855,0.0047855,0.0047855
15,2002.02,1.64431,1.2619,1.1854,0.79189,0.5736,0.66356,0.41135,1.67531,2.74771,1.11167,0.004769,0.004769,0.004769
16,2127.13,1.64684,1.25569,1.185,0.82362,0.58309,0.69668,0.42862,1.66299,2.28511,1.09646,0.0047525,0.0047525,0.0047525
17,2254.04,1.63644,1.24553,1.18071,0.79685,0.58274,0.68922,0.42704,1.65011,2.41962,1.0986,0.004736,0.004736,0.004736
18,2379.45,1.63148,1.24413,1.17064,0.82703,0.59289,0.70176,0.42555,1.63188,2.22834,1.08195,0.0047195,0.0047195,0.0047195
19,2505.02,1.62074,1.23649,1.17041,0.79888,0.63046,0.72808,0.44228,1.64539,1.73382,1.08263,0.004703,0.004703,0.004703
20,2630.63,1.62199,1.21834,1.16877,0.79699,0.61776,0.71386,0.44284,1.63133,1.86272,1.07587,0.0046865,0.0046865,0.0046865
21,2756.45,1.61145,1.20409,1.15793,0.81087,0.6203,0.7264,0.41526,1.6902,1.80052,1.09709,0.00467,0.00467,0.00467
22,2884.45,1.60191,1.18889,1.15358,0.77299,0.61523,0.71073,0.43638,1.65662,1.95713,1.08173,0.0046535,0.0046535,0.0046535
23,3010.08,1.5954,1.18094,1.15381,0.81074,0.60885,0.71853,0.43279,1.63376,2.00496,1.07822,0.004637,0.004637,0.004637
24,3136.11,1.58285,1.16805,1.15009,0.81678,0.60644,0.71137,0.44289,1.62371,1.68185,1.0674,0.0046205,0.0046205,0.0046205
25,3260.76,1.57941,1.16921,1.14676,0.83787,0.61218,0.73117,0.43609,1.63808,1.88515,1.06943,0.004604,0.004604,0.004604
26,3386.47,1.57084,1.15253,1.14543,0.8003,0.61929,0.7165,0.39728,1.70462,1.8804,1.08564,0.0045875,0.0045875,0.0045875
27,3512.3,1.56599,1.14797,1.13832,0.83443,0.62931,0.73491,0.42119,1.68948,1.76729,1.08147,0.004571,0.004571,0.004571
28,3637.64,1.5723,1.1523,1.14499,0.8227,0.58413,0.70933,0.38292,1.69757,1.96863,1.08693,0.0045545,0.0045545,0.0045545
29,3763.43,1.56751,1.14077,1.13273,0.82638,0.59436,0.70964,0.42989,1.65962,2.07133,1.07867,0.004538,0.004538,0.004538
30,3889.97,1.55614,1.13303,1.13161,0.86008,0.58782,0.72655,0.42035,1.67038,1.7667,1.065,0.0045215,0.0045215,0.0045215
31,4015.47,1.55053,1.11713,1.12724,0.86039,0.6194,0.74081,0.42402,1.68146,1.86307,1.07622,0.004505,0.004505,0.004505
32,4139.63,1.53879,1.11335,1.13092,0.83756,0.61624,0.74175,0.44251,1.65592,1.74446,1.0754,0.0044885,0.0044885,0.0044885
33,4265.27,1.54657,1.10946,1.12824,0.87616,0.6105,0.74648,0.44365,1.63832,1.54763,1.05905,0.004472,0.004472,0.004472
34,4391.59,1.5454,1.11077,1.12516,0.78695,0.64365,0.73879,0.44602,1.62306,1.81909,1.05617,0.0044555,0.0044555,0.0044555
35,4518.7,1.54076,1.10273,1.12453,0.83461,0.60453,0.72044,0.43027,1.6459,1.6929,1.06539,0.004439,0.004439,0.004439
36,4643.44,1.52946,1.09765,1.11941,0.77425,0.66396,0.74861,0.44192,1.67442,1.65778,1.08105,0.0044225,0.0044225,0.0044225
37,4768.91,1.51422,1.07478,1.11194,0.83486,0.63249,0.75179,0.43736,1.65909,1.75172,1.06553,0.004406,0.004406,0.004406
38,4895.21,1.5297,1.0885,1.11946,0.85606,0.61929,0.74831,0.45727,1.64735,1.72622,1.06795,0.0043895,0.0043895,0.0043895
39,5020.68,1.52955,1.08924,1.11765,0.82599,0.63655,0.74904,0.44033,1.65517,1.85451,1.06549,0.004373,0.004373,0.004373
40,5144.68,1.52259,1.0705,1.11133,0.81026,0.63553,0.74829,0.45438,1.63039,1.69164,1.05898,0.0043565,0.0043565,0.0043565
41,5268.17,1.50975,1.06418,1.11036,0.85035,0.60573,0.74454,0.43202,1.66721,1.68652,1.06683,0.00434,0.00434,0.00434
42,5393.17,1.51705,1.06161,1.11043,0.80936,0.66294,0.76353,0.46975,1.62326,1.82643,1.05956,0.0043235,0.0043235,0.0043235
43,5519.08,1.50326,1.05541,1.10766,0.84626,0.64264,0.75725,0.44511,1.63838,1.63413,1.05772,0.004307,0.004307,0.004307
44,5645.07,1.51511,1.06274,1.11086,0.80887,0.66165,0.76145,0.46976,1.62448,1.66184,1.05998,0.0042905,0.0042905,0.0042905
45,5767.91,1.50381,1.05428,1.10706,0.85298,0.62435,0.75305,0.43406,1.67113,1.65108,1.06774,0.004274,0.004274,0.004274
46,5892.31,1.49516,1.04686,1.10537,0.85021,0.6264,0.75541,0.40741,1.70315,1.61516,1.08265,0.0042575,0.0042575,0.0042575
47,6017.97,1.48644,1.03615,1.09681,0.81583,0.67513,0.77283,0.46321,1.64755,1.53718,1.0546,0.004241,0.004241,0.004241
48,6143.76,1.49504,1.03832,1.10313,0.83483,0.62335,0.76055,0.41301,1.67727,1.65266,1.0726,0.0042245,0.0042245,0.0042245
49,6269.64,1.47778,1.02615,1.09402,0.82033,0.64892,0.75488,0.42449,1.67824,1.68703,1.07531,0.004208,0.004208,0.004208
50,6395.27,1.48782,1.02885,1.09479,0.77923,0.69137,0.76842,0.44227,1.65002,1.59196,1.06016,0.0041915,0.0041915,0.0041915
51,6520.15,1.47417,1.01826,1.09347,0.82405,0.65618,0.76976,0.46796,1.62132,1.74553,1.06299,0.004175,0.004175,0.004175
52,6644.03,1.48198,1.0247,1.09463,0.78458,0.69645,0.7719,0.46728,1.62374,1.55214,1.06072,0.0041585,0.0041585,0.0041585
53,6769.31,1.46288,1.011,1.08952,0.8243,0.65279,0.76431,0.41705,1.69583,1.58273,1.07397,0.004142,0.004142,0.004142
54,6894.56,1.47817,1.02164,1.09543,0.82702,0.67954,0.77057,0.4692,1.62394,1.5495,1.05762,0.0041255,0.0041255,0.0041255
55,7020.33,1.46151,1.0007,1.08562,0.79519,0.67411,0.76756,0.45279,1.63359,1.74156,1.0551,0.004109,0.004109,0.004109
56,7146.15,1.46094,0.99995,1.08478,0.85101,0.65527,0.77805,0.46518,1.62874,1.48789,1.05939,0.0040925,0.0040925,0.0040925
57,7271.73,1.45979,1.00207,1.08689,0.83575,0.66123,0.76882,0.4543,1.62199,1.53982,1.05098,0.004076,0.004076,0.004076
58,7397.37,1.45065,0.99309,1.08356,0.86009,0.63452,0.7647,0.42391,1.69225,1.61254,1.06967,0.0040595,0.0040595,0.0040595
59,7522.72,1.45324,0.98976,1.081,0.84188,0.66497,0.77687,0.47272,1.62551,1.54287,1.05891,0.004043,0.004043,0.004043
60,7648.9,1.44418,0.98312,1.08121,0.83043,0.67616,0.77615,0.44557,1.68391,1.54702,1.07375,0.0040265,0.0040265,0.0040265
61,7775.57,1.45536,0.99052,1.08348,0.80028,0.6875,0.77881,0.46505,1.63197,1.64678,1.06181,0.00401,0.00401,0.00401
62,7901.7,1.43272,0.98027,1.07463,0.87711,0.64772,0.77744,0.46884,1.65503,1.49318,1.05671,0.0039935,0.0039935,0.0039935
63,8026.7,1.43351,0.97511,1.07485,0.85456,0.67208,0.78906,0.48215,1.64255,1.52031,1.06299,0.003977,0.003977,0.003977
64,8153.01,1.42844,0.96468,1.07203,0.82817,0.68426,0.78023,0.47653,1.59807,1.48055,1.04966,0.0039605,0.0039605,0.0039605
65,8278.72,1.43934,0.97393,1.07801,0.83377,0.67217,0.77609,0.46725,1.62969,1.51057,1.05985,0.003944,0.003944,0.003944
66,8405.94,1.43313,0.96871,1.07286,0.81156,0.6731,0.77432,0.45872,1.65774,1.46781,1.05949,0.0039275,0.0039275,0.0039275
67,8531.72,1.42241,0.96174,1.07282,0.88435,0.64365,0.77879,0.44211,1.68653,1.51868,1.06718,0.003911,0.003911,0.003911
68,8657.13,1.42914,0.96679,1.07456,0.84814,0.65584,0.77964,0.45331,1.63826,1.51571,1.05575,0.0038945,0.0038945,0.0038945
69,8783.31,1.41782,0.95449,1.06503,0.87253,0.63655,0.77397,0.46471,1.65591,1.48717,1.06799,0.003878,0.003878,0.003878
70,8908.11,1.41855,0.95478,1.06635,0.83175,0.67107,0.78194,0.47114,1.61771,1.46796,1.04762,0.0038615,0.0038615,0.0038615
71,9034.19,1.40782,0.95237,1.06435,0.88231,0.64975,0.7864,0.47363,1.61249,1.53991,1.05997,0.003845,0.003845,0.003845
