epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,419.69,2.92002,2.20208,1.56801,0.58927,0.33503,0.36725,0.18653,2.53989,10.5146,1.14303,0.0684047,0.00166291,0.00166291
2,533.774,2.1301,1.50524,1.20381,0.65451,0.38071,0.4392,0.22835,2.32502,2.85569,1.06164,0.036727,0.00331859,0.00331859
3,647.179,2.0021,1.41549,1.16679,0.71314,0.40102,0.48071,0.26734,2.22425,5.92569,1.03658,0.00503835,0.00496327,0.00496327
4,760.162,1.91439,1.3226,1.13402,0.75948,0.45787,0.53037,0.29778,2.15595,3.46338,1.03238,0.0049505,0.0049505,0.0049505
5,872.618,1.84846,1.25834,1.10846,0.78947,0.45279,0.54638,0.29431,2.18245,2.94628,1.0129,0.004934,0.004934,0.004934
6,984.398,1.80692,1.21155,1.09375,0.82208,0.46908,0.57515,0.34277,2.19511,2.95419,1.02427,0.0049175,0.0049175,0.0049175
7,1096.64,1.77706,1.18554,1.08262,0.83201,0.47411,0.59179,0.3512,2.08,2.98095,0.99819,0.004901,0.004901,0.004901
8,1208.63,1.74512,1.15376,1.07352,0.77855,0.49442,0.60673,0.35022,1.97954,3.23822,0.9625,0.0048845,0.0048845,0.0048845
9,1320.42,1.72221,1.14339,1.06685,0.80419,0.52792,0.62254,0.35263,2.01224,3.61475,0.98189,0.004868,0.004868,0.004868
10,1432.78,1.69679,1.11405,1.05966,0.76776,0.5303,0.61985,0.36051,1.8914,5.06261,0.96382,0.0048515,0.0048515,0.0048515
11,1546.41,1.69237,1.10443,1.05309,0.8009,0.5665,0.66205,0.3689,1.9913,2.82309,0.97066,0.004835,0.004835,0.004835
12,1659.72,1.68834,1.10368,1.05661,0.79558,0.54416,0.64882,0.36953,1.96481,3.21712,0.97216,0.0048185,0.0048185,0.0048185
13,1773.19,1.66749,1.07376,1.04665,0.78555,0.55533,0.64825,0.38466,1.88608,2.34196,0.95763,0.004802,0.004802,0.004802
14,1886.09,1.65148,1.06246,1.03991,0.82707,0.56142,0.67299,0.35145,2.00085,2.20438,0.97327,0.0047855,0.0047855,0.0047855
