epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,359.932,2.61443,2.37872,1.83108,0.60479,0.35422,0.40749,0.22049,2.28386,4.791,1.41179,0.0684047,0.00166291,0.00166291
2,488.267,2.0237,1.75032,1.40468,0.71253,0.45279,0.51642,0.28297,2.00594,5.66807,1.26004,0.036727,0.00331859,0.00331859
3,616.783,1.88738,1.59192,1.32458,0.69779,0.48629,0.55325,0.30357,1.91758,3.85708,1.20943,0.00503835,0.00496327,0.00496327
4,747.161,1.84644,1.51759,1.29205,0.70523,0.46802,0.54411,0.32492,1.91388,5.9335,1.20377,0.0049505,0.0049505,0.0049505
5,875.671,1.7811,1.44714,1.26068,0.73758,0.56215,0.63311,0.37404,1.91749,3.51528,1.20836,0.004934,0.004934,0.004934
6,1003.72,1.7588,1.40161,1.2476,0.79801,0.5495,0.65133,0.38211,1.83387,2.86675,1.15443,0.0049175,0.0049175,0.0049175
7,1128.25,1.73225,1.37481,1.23914,0.79406,0.52456,0.63352,0.36554,1.91271,2.67403,1.20009,0.004901,0.004901,0.004901
8,1253.24,1.72383,1.35349,1.22322,0.80813,0.55939,0.65792,0.38869,1.83396,2.89389,1.16581,0.0048845,0.0048845,0.0048845
9,1378.43,1.70058,1.32779,1.2168,0.79596,0.55838,0.67083,0.38072,1.82095,2.22059,1.13985,0.004868,0.004868,0.004868
10,1503.22,1.6887,1.31249,1.20591,0.77904,0.57766,0.67213,0.39345,1.71967,2.50014,1.10156,0.0048515,0.0048515,0.0048515
11,1628.68,1.66936,1.28035,1.19764,0.76946,0.58376,0.684,0.3934,1.75185,3.15531,1.12326,0.004835,0.004835,0.004835
12,1754.91,1.67047,1.28409,1.19593,0.77857,0.60914,0.69378,0.42796,1.68674,3.37946,1.10009,0.0048185,0.0048185,0.0048185
13,1880.53,1.64887,1.25582,1.18554,0.8104,0.5858,0.70728,0.42438,1.75393,2.18637,1.11128,0.004802,0.004802,0.004802
14,2006.95,1.64878,1.26247,1.18389,0.78738,0.61929,0.71535,0.43275,1.69885,2.30515,1.08741,0.0047855,0.0047855,0.0047855
15,2132.62,1.62536,1.22621,1.17006,0.8139,0.59492,0.70148,0.42449,1.6905,2.19604,1.08422,0.004769,0.004769,0.004769
16,2257.82,1.62543,1.22569,1.16945,0.8026,0.61015,0.70835,0.41038,1.71712,2.06936,1.097,0.0047525,0.0047525,0.0047525
17,2383.01,1.61819,1.21254,1.17138,0.82589,0.58883,0.70224,0.42397,1.69995,2.20143,1.11783,0.004736,0.004736,0.004736
18,2509.78,1.61945,1.21046,1.1659,0.7824,0.63147,0.71205,0.40832,1.69572,2.21602,1.09071,0.0047195,0.0047195,0.0047195
19,2635.43,1.60448,1.19155,1.16162,0.80875,0.62437,0.73225,0.44989,1.7101,2.46245,1.0895,0.004703,0.004703,0.004703
20,2761.16,1.60892,1.18794,1.15918,0.84206,0.58477,0.72504,0.448,1.66355,1.77363,1.07924,0.0046865,0.0046865,0.0046865
21,2887.02,1.59319,1.17806,1.15164,0.82088,0.63741,0.73517,0.43556,1.67146,1.65104,1.07372,0.00467,0.00467,0.00467
22,3012.74,1.59055,1.17327,1.15475,0.81902,0.61566,0.73173,0.45214,1.66947,1.83962,1.08518,0.0046535,0.0046535,0.0046535
23,3138.98,1.59055,1.1731,1.15026,0.81118,0.6237,0.73391,0.42475,1.68881,1.71653,1.09102,0.004637,0.004637,0.004637
24,3265.74,1.57516,1.15786,1.14499,0.8161,0.64365,0.73023,0.43682,1.65408,2.11221,1.074,0.0046205,0.0046205,0.0046205
