epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.585,2.61718,2.40268,1.80691,0.49099,0.3198,0.35047,0.19036,2.18373,9.1825,1.31716,0.0684047,0.00166291,0.00166291
2,413.881,1.99925,1.74003,1.38848,0.73418,0.40711,0.48107,0.26112,1.93752,3.97111,1.21519,0.036727,0.00331859,0.00331859
3,557.413,1.90513,1.63888,1.3404,0.69877,0.39898,0.43661,0.25887,2.10685,3.76551,1.30653,0.00503835,0.00496327,0.00496327
4,700.598,1.84657,1.54654,1.30387,0.76384,0.49137,0.58094,0.33311,1.83422,5.42694,1.17082,0.0049505,0.0049505,0.0049505
5,844.823,1.78911,1.47213,1.26391,0.73399,0.50558,0.57939,0.34463,1.81043,5.51183,1.18275,0.004934,0.004934,0.004934
6,988.336,1.76341,1.43374,1.2472,0.78989,0.51908,0.61044,0.37214,1.94923,2.70278,1.19936,0.0049175,0.0049175,0.0049175
7,1131.43,1.75047,1.41026,1.23946,0.79824,0.53198,0.62691,0.37777,1.89919,2.28406,1.20465,0.004901,0.004901,0.004901
8,1275.39,1.72777,1.38129,1.22694,0.77782,0.57157,0.65514,0.36594,1.7713,2.83412,1.1252,0.0048845,0.0048845,0.0048845
9,1419.85,1.69997,1.35104,1.21254,0.73281,0.51878,0.60545,0.366,1.85143,3.2162,1.17797,0.004868,0.004868,0.004868
10,1562.71,1.68592,1.32951,1.20838,0.77721,0.5868,0.66959,0.3988,1.65456,3.35271,1.07714,0.0048515,0.0048515,0.0048515
11,1708.08,1.68587,1.32496,1.20133,0.8068,0.55961,0.66686,0.40122,1.76864,2.94606,1.13847,0.004835,0.004835,0.004835
12,1850.82,1.67529,1.31733,1.20296,0.77841,0.55939,0.6592,0.40094,1.66388,2.20417,1.09156,0.0048185,0.0048185,0.0048185
13,1995,1.66389,1.2837,1.18652,0.80763,0.58173,0.69537,0.42688,1.66556,2.74775,1.09107,0.004802,0.004802,0.004802
14,2139.77,1.65378,1.27568,1.18292,0.79486,0.60508,0.6946,0.40717,1.72252,2.16672,1.11269,0.0047855,0.0047855,0.0047855
15,2282.84,1.63806,1.26087,1.17917,0.779,0.57258,0.67456,0.41587,1.62154,4.1305,1.07351,0.004769,0.004769,0.004769
16,2425.81,1.64156,1.25541,1.18041,0.80687,0.61624,0.71023,0.43702,1.64751,1.97709,1.07896,0.0047525,0.0047525,0.0047525
17,2569.09,1.62962,1.24335,1.17167,0.81324,0.59238,0.70353,0.43599,1.64895,1.91368,1.09661,0.004736,0.004736,0.004736
18,2712.08,1.62124,1.22518,1.16374,0.8097,0.59898,0.70485,0.37185,1.67628,1.97716,1.07822,0.0047195,0.0047195,0.0047195
19,2856.07,1.61689,1.22762,1.16512,0.84259,0.60865,0.73183,0.45066,1.65292,1.66622,1.08363,0.004703,0.004703,0.004703
20,3000.02,1.61931,1.21366,1.16469,0.76276,0.62538,0.70769,0.43765,1.62271,2.18774,1.07275,0.0046865,0.0046865,0.0046865
21,3143.92,1.60134,1.19255,1.15239,0.81679,0.59294,0.69747,0.37272,1.71382,1.87079,1.09209,0.00467,0.00467,0.00467
22,3287.69,1.59623,1.18273,1.14754,0.79849,0.61146,0.70824,0.43546,1.61548,2.06274,1.07683,0.0046535,0.0046535,0.0046535
23,3430.46,1.58842,1.17479,1.14864,0.81036,0.62038,0.72804,0.44195,1.62995,2.18308,1.06139,0.004637,0.004637,0.004637
24,3573.78,1.57972,1.16604,1.14874,0.83794,0.5984,0.71671,0.4487,1.59404,1.59394,1.06731,0.0046205,0.0046205,0.0046205
25,3717.99,1.5802,1.17767,1.14833,0.82472,0.62234,0.72389,0.43034,1.6128,1.66615,1.05554,0.004604,0.004604,0.004604
26,3860.64,1.56282,1.14573,1.14136,0.83141,0.61624,0.7314,0.41666,1.64454,1.76619,1.06389,0.0045875,0.0045875,0.0045875
27,4004.49,1.55333,1.13317,1.13214,0.80825,0.65045,0.74015,0.43006,1.62145,1.54227,1.05665,0.004571,0.004571,0.004571
28,4146.58,1.57292,1.1563,1.14447,0.82039,0.6132,0.72077,0.38784,1.63675,1.90514,1.05732,0.0045545,0.0045545,0.0045545
29,4290.5,1.56154,1.13839,1.13178,0.7987,0.62944,0.72894,0.44047,1.65779,1.78143,1.09404,0.004538,0.004538,0.004538
