epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.876,2.63625,2.39769,1.81602,0.50967,0.32995,0.341,0.16448,2.32832,7.46186,1.39952,0.0684047,0.00166291,0.00166291
2,477.778,2.02549,1.76017,1.38979,0.66396,0.42132,0.4698,0.25992,2.0478,5.30914,1.27538,0.036727,0.00331859,0.00331859
3,626.03,1.91395,1.63245,1.32935,0.67558,0.47005,0.5299,0.30201,1.94177,6.11256,1.24566,0.00503835,0.00496327,0.00496327
4,779.273,1.86072,1.55324,1.29831,0.63034,0.45685,0.50846,0.26859,1.97485,21.2472,1.22979,0.0049505,0.0049505,0.0049505
5,929.422,1.79904,1.47471,1.25921,0.75648,0.50152,0.59335,0.35181,1.86919,3.79879,1.19573,0.004934,0.004934,0.004934
6,1078.91,1.75636,1.41465,1.23597,0.7853,0.53471,0.64112,0.38416,1.9659,2.08973,1.21582,0.0049175,0.0049175,0.0049175
7,1226.08,1.74102,1.39605,1.22987,0.75746,0.52893,0.62367,0.37537,1.88162,2.62482,1.19327,0.004901,0.004901,0.004901
8,1373.46,1.72025,1.36887,1.21475,0.75354,0.53401,0.63394,0.38222,1.82955,3.12657,1.1617,0.0048845,0.0048845,0.0048845
9,1519.17,1.69998,1.35042,1.20554,0.78601,0.56751,0.66357,0.3821,1.7561,3.15113,1.11813,0.004868,0.004868,0.004868
10,1665.49,1.67684,1.30902,1.19671,0.73846,0.5269,0.61854,0.35353,1.72688,2.35951,1.09504,0.0048515,0.0048515,0.0048515
11,1811.54,1.67732,1.304,1.18899,0.78111,0.55792,0.66692,0.39563,1.73126,2.97719,1.1028,0.004835,0.004835,0.004835
12,1958.33,1.66404,1.29266,1.18959,0.80458,0.57259,0.68435,0.40607,1.69503,3.22537,1.09242,0.0048185,0.0048185,0.0048185
13,2105.73,1.65313,1.26404,1.17941,0.77371,0.58173,0.66533,0.40564,1.756,2.41811,1.11257,0.004802,0.004802,0.004802
14,2250.9,1.64379,1.25341,1.17244,0.76226,0.55635,0.65504,0.36529,1.74418,2.14902,1.11924,0.0047855,0.0047855,0.0047855
15,2396.17,1.6371,1.24487,1.17223,0.73476,0.58778,0.67363,0.41401,1.68949,3.25104,1.08757,0.004769,0.004769,0.004769
16,2542.64,1.63682,1.24117,1.17194,0.86769,0.56447,0.70443,0.43411,1.70309,1.80892,1.10256,0.0047525,0.0047525,0.0047525
17,2689.76,1.62721,1.22764,1.16568,0.74164,0.61624,0.69714,0.43635,1.66931,1.72202,1.10241,0.004736,0.004736,0.004736
18,2835.96,1.6192,1.21849,1.15906,0.81685,0.57052,0.6939,0.39636,1.71029,2.027,1.08951,0.0047195,0.0047195,0.0047195
19,2982.72,1.6185,1.21186,1.15917,0.80776,0.62843,0.72538,0.4475,1.66648,2.29025,1.08476,0.004703,0.004703,0.004703
20,3128.93,1.612,1.19379,1.15561,0.83097,0.58579,0.69717,0.41991,1.67445,2.01091,1.08473,0.0046865,0.0046865,0.0046865
21,3275.85,1.59513,1.17771,1.14487,0.78347,0.62449,0.71866,0.42627,1.65973,2.61811,1.08034,0.00467,0.00467,0.00467
22,3422.93,1.59065,1.16367,1.14047,0.80822,0.59594,0.70585,0.41817,1.67325,1.80337,1.0698,0.0046535,0.0046535,0.0046535
23,3569.46,1.58123,1.15372,1.14067,0.79894,0.60609,0.70762,0.43195,1.58911,2.71641,1.05301,0.004637,0.004637,0.004637
24,3715.39,1.56854,1.14426,1.13837,0.77318,0.60609,0.70483,0.42846,1.64207,2.53551,1.07204,0.0046205,0.0046205,0.0046205
25,3860.21,1.56002,1.13843,1.13289,0.80942,0.61659,0.73335,0.43984,1.67475,1.71212,1.07557,0.004604,0.004604,0.004604
26,4005.84,1.55428,1.12678,1.13265,0.80506,0.6132,0.72276,0.40811,1.70513,1.89605,1.07281,0.0045875,0.0045875,0.0045875
27,4151.72,1.55328,1.12077,1.12758,0.85437,0.61347,0.73135,0.40946,1.70849,1.70556,1.08017,0.004571,0.004571,0.004571
28,4298.88,1.55474,1.1263,1.13286,0.81117,0.60305,0.71338,0.39821,1.67771,1.78741,1.07215,0.0045545,0.0045545,0.0045545
29,4446.19,1.54534,1.11539,1.11996,0.79583,0.63314,0.73409,0.44565,1.60486,1.67713,1.0606,0.004538,0.004538,0.004538
30,4592.9,1.53835,1.11002,1.12005,0.8497,0.59594,0.72083,0.43026,1.67937,1.6551,1.07663,0.0045215,0.0045215,0.0045215
31,4738.81,1.52404,1.09026,1.11279,0.79764,0.61421,0.71846,0.40536,1.68042,1.85685,1.08211,0.004505,0.004505,0.004505
32,4883.06,1.51577,1.08416,1.1156,0.83689,0.62335,0.74549,0.4625,1.59546,1.6146,1.05689,0.0044885,0.0044885,0.0044885
33,5029.93,1.52244,1.08162,1.11398,0.83148,0.62132,0.7423,0.45715,1.61123,1.66207,1.04375,0.004472,0.004472,0.004472
34,5175.34,1.51927,1.07618,1.11027,0.80652,0.61015,0.72272,0.42445,1.63295,1.697,1.05841,0.0044555,0.0044555,0.0044555
35,5321.92,1.51212,1.06994,1.10887,0.84443,0.60711,0.74094,0.42952,1.64536,1.65658,1.06903,0.004439,0.004439,0.004439
36,5468.03,1.5079,1.06787,1.10794,0.82814,0.62335,0.74313,0.44204,1.65449,1.57416,1.07644,0.0044225,0.0044225,0.0044225
37,5613.6,1.49164,1.04685,1.09944,0.80541,0.63959,0.75502,0.45509,1.6558,1.82437,1.06148,0.004406,0.004406,0.004406
38,5759.1,1.51309,1.06464,1.10964,0.80244,0.65787,0.7554,0.44408,1.65518,1.61773,1.06347,0.0043895,0.0043895,0.0043895
39,5905.88,1.50682,1.05032,1.10408,0.80834,0.65938,0.75711,0.46568,1.62389,1.81841,1.06438,0.004373,0.004373,0.004373
40,6051.93,1.50122,1.04097,1.09991,0.80539,0.65888,0.76468,0.44305,1.62809,1.558,1.04958,0.0043565,0.0043565,0.0043565
41,6197.66,1.48185,1.03404,1.09581,0.83641,0.6467,0.76238,0.44505,1.68907,1.48405,1.06074,0.00434,0.00434,0.00434
42,6342.82,1.48825,1.03163,1.09607,0.78919,0.68029,0.76909,0.47741,1.62008,1.63665,1.06455,0.0043235,0.0043235,0.0043235
43,6490.1,1.47472,1.02119,1.09215,0.83164,0.64192,0.76194,0.46095,1.6463,1.58936,1.06577,0.004307,0.004307,0.004307
44,6635.14,1.479,1.02132,1.09292,0.82575,0.62843,0.74658,0.4344,1.6679,1.59321,1.07986,0.0042905,0.0042905,0.0042905
45,6780.07,1.46925,1.01406,1.09024,0.84564,0.66743,0.77414,0.4698,1.63496,1.53885,1.05131,0.004274,0.004274,0.004274
46,6926.2,1.46178,1.0076,1.0899,0.80045,0.65482,0.75186,0.40699,1.71466,1.54089,1.0843,0.0042575,0.0042575,0.0042575
47,7072.75,1.45365,1.00194,1.08209,0.8046,0.68731,0.76957,0.45722,1.64236,1.58274,1.0562,0.004241,0.004241,0.004241
48,7218.32,1.46705,1.01164,1.0886,0.79428,0.67817,0.76404,0.42082,1.68624,1.54807,1.06808,0.0042245,0.0042245,0.0042245
49,7365.43,1.44926,0.98776,1.08096,0.81195,0.64772,0.74793,0.41074,1.67937,1.58099,1.06223,0.004208,0.004208,0.004208
50,7513.08,1.45127,0.99415,1.07827,0.83877,0.64162,0.76057,0.43494,1.69779,1.51992,1.06453,0.0041915,0.0041915,0.0041915
51,7660.49,1.43909,0.9815,1.07809,0.81065,0.67716,0.78107,0.47505,1.63131,1.47675,1.04821,0.004175,0.004175,0.004175
52,7806.56,1.44778,0.986,1.07776,0.81051,0.69036,0.77432,0.4656,1.61807,1.47469,1.05563,0.0041585,0.0041585,0.0041585
53,7953.55,1.44114,0.98141,1.0781,0.78364,0.68395,0.76493,0.43854,1.66813,1.58956,1.07756,0.004142,0.004142,0.004142
54,8099.64,1.44041,0.9797,1.07836,0.79858,0.68934,0.77694,0.45404,1.63502,1.49925,1.06616,0.0041255,0.0041255,0.0041255
55,8246.26,1.43228,0.96866,1.07185,0.79763,0.68026,0.77541,0.43304,1.66534,1.51139,1.06404,0.004109,0.004109,0.004109
56,8393.27,1.42291,0.95866,1.0675,0.83725,0.67005,0.78202,0.45739,1.61616,1.46161,1.04573,0.0040925,0.0040925,0.0040925
57,8539.76,1.4317,0.96744,1.07506,0.80618,0.68832,0.78416,0.47755,1.61823,1.5685,1.04573,0.004076,0.004076,0.004076
58,8686.64,1.42738,0.9638,1.07153,0.82374,0.67371,0.77776,0.43487,1.70366,1.5115,1.06968,0.0040595,0.0040595,0.0040595
59,8834.18,1.41496,0.95127,1.06537,0.80802,0.68832,0.77574,0.45604,1.63792,1.57656,1.04632,0.004043,0.004043,0.004043
