epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.561,2.9454,2.21222,1.57476,0.6314,0.26599,0.30626,0.16064,2.72534,2.92242,1.16408,0.0684047,0.00166291,0.00166291
2,399.822,2.1188,1.51456,1.20666,0.62095,0.37868,0.43505,0.24453,2.43224,3.07527,1.07661,0.036727,0.00331859,0.00331859
3,524.616,1.99903,1.38314,1.15993,0.65089,0.41117,0.48086,0.26929,2.40042,3.83515,1.07648,0.00503835,0.00496327,0.00496327
4,652.788,1.91291,1.30967,1.12721,0.68851,0.46091,0.53172,0.2912,2.36781,5.44993,1.07133,0.0049505,0.0049505,0.0049505
5,778.981,1.85872,1.25882,1.10976,0.73951,0.48223,0.56093,0.32637,2.21267,6.56093,1.02161,0.004934,0.004934,0.004934
6,906.637,1.82232,1.22214,1.09988,0.7952,0.47698,0.58107,0.31853,2.11404,2.91154,1.00801,0.0049175,0.0049175,0.0049175
7,1034.19,1.78301,1.19513,1.09303,0.69148,0.46497,0.52183,0.30249,2.12097,5.65607,1.02289,0.004901,0.004901,0.004901
8,1158.66,1.77207,1.17862,1.07858,0.78788,0.55809,0.63625,0.3552,2.03832,2.99295,0.98504,0.0048845,0.0048845,0.0048845
9,1286.57,1.73465,1.1398,1.07094,0.80962,0.5181,0.61708,0.33829,2.21822,2.74076,1.02269,0.004868,0.004868,0.004868
10,1412.57,1.71658,1.12021,1.06438,0.78888,0.53401,0.62644,0.36003,1.84913,3.8675,0.95892,0.0048515,0.0048515,0.0048515
11,1539.44,1.69998,1.09825,1.06092,0.73408,0.47817,0.56998,0.33699,1.91903,6.51471,0.986,0.004835,0.004835,0.004835
12,1663.47,1.69868,1.09757,1.05932,0.77113,0.53401,0.62354,0.35828,1.86606,4.71054,0.95934,0.0048185,0.0048185,0.0048185
13,1787.75,1.67065,1.07771,1.04924,0.80141,0.57259,0.67772,0.38518,1.8627,3.77447,0.95217,0.004802,0.004802,0.004802
14,1914.17,1.65883,1.07321,1.04362,0.82373,0.55228,0.67165,0.37938,1.84941,2.80995,0.95777,0.0047855,0.0047855,0.0047855
15,2038,1.65046,1.05676,1.04289,0.83702,0.55939,0.681,0.39572,1.85605,3.15338,0.95932,0.004769,0.004769,0.004769
16,2162.73,1.63261,1.04072,1.03903,0.80422,0.5797,0.68048,0.3592,1.90203,2.00679,0.96067,0.0047525,0.0047525,0.0047525
17,2287.23,1.62488,1.03387,1.03976,0.75828,0.5533,0.6422,0.36952,1.85902,4.96489,0.95777,0.004736,0.004736,0.004736
18,2413.74,1.62592,1.02776,1.03193,0.78753,0.57766,0.68103,0.39203,1.81312,2.52605,0.95037,0.0047195,0.0047195,0.0047195
19,2537.99,1.60749,1.01407,1.0302,0.79844,0.57665,0.68653,0.40974,1.96449,2.0371,0.96613,0.004703,0.004703,0.004703
20,2662.33,1.59865,1.00476,1.02547,0.82119,0.59289,0.69828,0.40487,1.85685,1.79138,0.94811,0.0046865,0.0046865,0.0046865
21,2787.39,1.60439,1.00403,1.02597,0.80805,0.60406,0.70327,0.39813,1.81548,3.08082,0.95177,0.00467,0.00467,0.00467
22,2909.95,1.58104,0.98894,1.02296,0.813,0.60508,0.7105,0.42588,1.84719,3.82707,0.95077,0.0046535,0.0046535,0.0046535
23,3035.92,1.56579,0.97902,1.01638,0.84289,0.58782,0.70865,0.41476,1.76197,1.75287,0.93804,0.004637,0.004637,0.004637
24,3159.34,1.56196,0.97528,1.01513,0.83024,0.59391,0.70294,0.4114,1.85623,3.19164,0.96058,0.0046205,0.0046205,0.0046205
25,3285.3,1.55003,0.95297,1.01404,0.86543,0.61218,0.72381,0.42214,1.76624,1.79211,0.9375,0.004604,0.004604,0.004604
26,3408.11,1.55389,0.95916,1.01203,0.86948,0.59289,0.70999,0.41637,1.74365,1.73194,0.93501,0.0045875,0.0045875,0.0045875
27,3533.06,1.54913,0.95436,1.00953,0.8216,0.61717,0.71844,0.41214,1.81699,2.00994,0.9461,0.004571,0.004571,0.004571
28,3656.89,1.55433,0.9542,1.01274,0.82677,0.59594,0.70034,0.39605,1.93266,3.46194,0.97129,0.0045545,0.0045545,0.0045545
29,3781.85,1.52524,0.93583,1.00757,0.83289,0.62234,0.73144,0.43178,1.74422,1.68557,0.93774,0.004538,0.004538,0.004538
30,3908.88,1.52603,0.93666,1.0063,0.77008,0.57462,0.6758,0.37903,1.9918,2.56869,0.98525,0.0045215,0.0045215,0.0045215
31,4033.3,1.51533,0.92896,1.00272,0.82934,0.61218,0.71919,0.41833,1.78092,2.0599,0.93257,0.004505,0.004505,0.004505
32,4157.89,1.52208,0.9301,1.00447,0.86606,0.59735,0.72627,0.42432,1.75515,1.98738,0.94703,0.0044885,0.0044885,0.0044885
33,4282.7,1.50369,0.9118,1.00034,0.84066,0.57313,0.69641,0.40997,1.74571,2.25129,0.93855,0.004472,0.004472,0.004472
34,4409.33,1.50923,0.91889,0.99569,0.81462,0.63756,0.74126,0.43411,1.71026,1.9878,0.93668,0.0044555,0.0044555,0.0044555
35,4533.83,1.50778,0.91613,0.99802,0.86976,0.58307,0.71796,0.40174,1.7481,2.07751,0.93479,0.004439,0.004439,0.004439
36,4659.1,1.48838,0.8972,0.99177,0.86201,0.61523,0.72985,0.42733,1.74615,1.71784,0.94434,0.0044225,0.0044225,0.0044225
37,4781.47,1.48676,0.90181,0.99256,0.83805,0.6132,0.73191,0.42664,1.72974,1.53653,0.93118,0.004406,0.004406,0.004406
38,4906.72,1.49213,0.90042,0.99374,0.84607,0.61382,0.72515,0.43283,1.72018,1.7304,0.93487,0.0043895,0.0043895,0.0043895
39,5029.58,1.48147,0.89175,0.98977,0.83267,0.59695,0.72275,0.42141,1.76755,2.62089,0.94095,0.004373,0.004373,0.004373
40,5153.44,1.47915,0.88998,0.9856,0.7995,0.59492,0.69035,0.38715,1.77193,4.04297,0.93574,0.0043565,0.0043565,0.0043565
41,5277.1,1.48801,0.89382,0.99787,0.82463,0.6206,0.72312,0.43315,1.70686,2.78324,0.92512,0.00434,0.00434,0.00434
42,5400.85,1.48294,0.89134,0.9927,0.81101,0.64061,0.73656,0.43578,1.75417,2.16324,0.94198,0.0043235,0.0043235,0.0043235
43,5528,1.46173,0.88055,0.98918,0.80161,0.63959,0.72878,0.4224,1.7525,2.87061,0.9317,0.004307,0.004307,0.004307
44,290.904,1.51657,0.94908,1.01229,0.83626,0.6264,0.7287,0.43342,1.75874,2.2778,0.93838,0.0042905,0.0042905,0.0042905
45,428.136,1.46798,0.88845,0.99461,0.85642,0.62944,0.73312,0.42072,1.79749,2.1855,0.93549,0.004274,0.004274,0.004274
46,561.101,1.45998,0.87554,0.98784,0.80255,0.64162,0.73349,0.42116,1.73242,2.4645,0.92981,0.0042575,0.0042575,0.0042575
47,696.756,1.45657,0.87301,0.98566,0.80945,0.6469,0.74243,0.44734,1.71874,1.8927,0.93705,0.004241,0.004241,0.004241
48,834.459,1.45069,0.86968,0.98445,0.8295,0.64705,0.73875,0.44612,1.69745,1.77371,0.91931,0.0042245,0.0042245,0.0042245
49,968.606,1.45602,0.86805,0.98716,0.80978,0.62741,0.7182,0.42562,1.72817,2.39852,0.92336,0.004208,0.004208,0.004208
50,1099.89,1.44798,0.8624,0.98849,0.82575,0.63452,0.74532,0.44456,1.72629,1.93065,0.93192,0.0041915,0.0041915,0.0041915
51,1229.07,1.45257,0.87001,0.98194,0.79839,0.63756,0.73057,0.40671,1.77829,2.06864,0.93592,0.004175,0.004175,0.004175
52,1360.05,1.42953,0.85208,0.9784,0.80224,0.63837,0.72706,0.39711,1.79854,1.8566,0.93726,0.0041585,0.0041585,0.0041585
53,1488.9,1.43092,0.85417,0.97723,0.83215,0.61907,0.72469,0.38734,1.80125,1.98591,0.92912,0.004142,0.004142,0.004142
54,1617.9,1.42667,0.84522,0.97939,0.80924,0.66701,0.74527,0.42888,1.73428,2.00622,0.92493,0.0041255,0.0041255,0.0041255
55,280.385,1.43174,0.86017,0.98824,0.82711,0.66055,0.74651,0.43322,1.74338,2.03916,0.93143,0.004109,0.004109,0.004109
56,404.953,1.41255,0.84348,0.98262,0.81172,0.63902,0.73697,0.4155,1.85801,2.07954,0.93844,0.0040925,0.0040925,0.0040925
57,527.178,1.40243,0.83594,0.97475,0.82014,0.64811,0.74436,0.42769,1.75145,1.95313,0.93607,0.004076,0.004076,0.004076
58,653.704,1.39793,0.83352,0.97219,0.83146,0.62606,0.73672,0.40689,1.77348,1.84019,0.93844,0.0040595,0.0040595,0.0040595
59,779.811,1.39239,0.8317,0.97186,0.84608,0.63553,0.74824,0.42433,1.77102,1.65682,0.93391,0.004043,0.004043,0.004043
60,904.526,1.40043,0.83069,0.97488,0.819,0.66802,0.75165,0.43181,1.78305,2.05404,0.93096,0.0040265,0.0040265,0.0040265
