epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.818,2.6415,2.42937,1.83185,0.60855,0.34416,0.39138,0.20301,2.30254,5.73366,1.46007,0.0684047,0.00166291,0.00166291
2,433.156,2.02073,1.75543,1.40817,0.58245,0.4203,0.45279,0.26507,2.09606,2.84068,1.29962,0.036727,0.00331859,0.00331859
3,583.932,1.90423,1.613,1.32957,0.70031,0.45381,0.52481,0.29551,2.06264,5.10048,1.26643,0.00503835,0.00496327,0.00496327
4,734.036,1.85301,1.53709,1.29197,0.74253,0.47107,0.5714,0.32503,1.90376,3.03766,1.19791,0.0049505,0.0049505,0.0049505
5,886.118,1.79573,1.47094,1.26241,0.74294,0.53401,0.63216,0.36897,1.86242,3.305,1.15937,0.004934,0.004934,0.004934
6,1036.43,1.77695,1.42609,1.25322,0.75349,0.55546,0.64102,0.36105,1.83859,3.20209,1.15736,0.0049175,0.0049175,0.0049175
7,1186.19,1.73594,1.38854,1.23569,0.74908,0.54924,0.63239,0.37292,2.04032,3.14729,1.25369,0.004901,0.004901,0.004901
8,1334.44,1.73216,1.36993,1.22353,0.77566,0.56345,0.65072,0.38353,1.75615,3.01507,1.11472,0.0048845,0.0048845,0.0048845
9,1483.44,1.71243,1.34212,1.21674,0.72097,0.55611,0.63842,0.35719,1.85404,2.27556,1.15368,0.004868,0.004868,0.004868
10,1631.62,1.69811,1.32531,1.20185,0.77968,0.57126,0.67213,0.39124,1.70532,3.51678,1.09553,0.0048515,0.0048515,0.0048515
11,1783.28,1.6848,1.29753,1.19998,0.77284,0.58029,0.67513,0.4018,1.78623,3.32252,1.14011,0.004835,0.004835,0.004835
12,1945.13,1.68003,1.29484,1.19485,0.76099,0.54721,0.64574,0.39721,1.70508,2.91662,1.09425,0.0048185,0.0048185,0.0048185
13,2102.03,1.66101,1.25921,1.18437,0.78831,0.59898,0.70206,0.42947,1.74657,2.176,1.1205,0.004802,0.004802,0.004802
14,2257.85,1.65748,1.26993,1.18186,0.7907,0.59695,0.69563,0.42195,1.69553,2.32698,1.10063,0.0047855,0.0047855,0.0047855
15,2412.65,1.63739,1.22555,1.17023,0.80431,0.57167,0.69606,0.43302,1.67238,1.90609,1.08619,0.004769,0.004769,0.004769
16,2568.19,1.63252,1.22668,1.16762,0.81631,0.60456,0.71694,0.41662,1.72968,1.75664,1.0994,0.0047525,0.0047525,0.0047525
17,2720.79,1.62298,1.21154,1.16607,0.7781,0.58027,0.69143,0.42471,1.67022,2.51362,1.08664,0.004736,0.004736,0.004736
18,2876,1.6159,1.19765,1.15847,0.75544,0.5676,0.65447,0.40539,1.6844,2.09909,1.07909,0.0047195,0.0047195,0.0047195
19,3027.65,1.60857,1.19067,1.15679,0.78605,0.63034,0.72827,0.44866,1.68943,1.79181,1.08045,0.004703,0.004703,0.004703
20,3182.31,1.61482,1.19376,1.15422,0.76165,0.56142,0.66128,0.40147,1.75159,2.45887,1.12023,0.0046865,0.0046865,0.0046865
21,3333.75,1.60022,1.1821,1.14723,0.80356,0.65279,0.75008,0.44765,1.62896,1.92131,1.06375,0.00467,0.00467,0.00467
22,3488.3,1.58911,1.16669,1.14598,0.79645,0.55736,0.67382,0.40012,1.68909,3.66433,1.0789,0.0046535,0.0046535,0.0046535
23,3644.32,1.59083,1.1632,1.14351,0.79785,0.62108,0.71656,0.42701,1.6753,1.99751,1.09668,0.004637,0.004637,0.004637
24,3794,1.57867,1.16211,1.14032,0.80466,0.63984,0.73685,0.43958,1.66052,1.93201,1.07555,0.0046205,0.0046205,0.0046205
25,3945.83,1.568,1.13731,1.13918,0.84726,0.60819,0.7291,0.45843,1.62177,1.84348,1.06521,0.004604,0.004604,0.004604
26,4098.07,1.56693,1.13299,1.13632,0.79111,0.62944,0.72599,0.43885,1.6301,1.79977,1.06256,0.0045875,0.0045875,0.0045875
27,4251.3,1.55763,1.12462,1.1273,0.81951,0.63553,0.74455,0.4661,1.59754,1.60596,1.06061,0.004571,0.004571,0.004571
28,4402.27,1.56561,1.13164,1.13436,0.79151,0.61726,0.72744,0.41249,1.66682,1.92105,1.06828,0.0045545,0.0045545,0.0045545
29,4553.9,1.55071,1.12749,1.12642,0.81548,0.63858,0.74774,0.4644,1.63345,1.76019,1.0742,0.004538,0.004538,0.004538
30,4703.74,1.54532,1.10863,1.12301,0.82516,0.61827,0.73659,0.43646,1.57947,1.85753,1.04112,0.0045215,0.0045215,0.0045215
31,4853.68,1.53664,1.10125,1.1211,0.83048,0.62665,0.74223,0.44816,1.64928,2.10026,1.06535,0.004505,0.004505,0.004505
32,5004.54,1.54035,1.10049,1.12149,0.81879,0.62335,0.7407,0.46042,1.59934,1.77534,1.05433,0.0044885,0.0044885,0.0044885
33,5155.76,1.53561,1.09047,1.11811,0.77147,0.60508,0.71183,0.42575,1.63173,1.69442,1.06674,0.004472,0.004472,0.004472
34,5308.34,1.5251,1.08201,1.11088,0.84231,0.64365,0.76573,0.47121,1.5718,1.69984,1.04126,0.0044555,0.0044555,0.0044555
35,5458.24,1.52117,1.08041,1.11463,0.8465,0.64061,0.7599,0.4684,1.63622,1.64207,1.06418,0.004439,0.004439,0.004439
36,5607.74,1.51845,1.06377,1.10913,0.81664,0.66091,0.75797,0.43145,1.63366,1.66544,1.05929,0.0044225,0.0044225,0.0044225
37,5757.19,1.51892,1.07754,1.10923,0.79876,0.65278,0.75395,0.45884,1.60197,1.7147,1.05423,0.004406,0.004406,0.004406
38,5908.46,1.51288,1.05937,1.10732,0.81708,0.61673,0.73944,0.46509,1.58101,1.51062,1.04049,0.0043895,0.0043895,0.0043895
39,6057.66,1.50876,1.05123,1.10413,0.81418,0.63959,0.74112,0.4607,1.60109,1.69903,1.05542,0.004373,0.004373,0.004373
40,6206.37,1.50976,1.05659,1.10199,0.79187,0.66396,0.75937,0.46565,1.60743,1.53425,1.049,0.0043565,0.0043565,0.0043565
41,6357.38,1.50056,1.0452,1.10571,0.81788,0.63858,0.75016,0.4727,1.54965,1.52816,1.02616,0.00434,0.00434,0.00434
42,6505.08,1.49787,1.04414,1.10357,0.83059,0.65205,0.76848,0.48068,1.54927,1.5395,1.02221,0.0043235,0.0043235,0.0043235
43,6655.24,1.48209,1.02991,1.09723,0.81226,0.67817,0.7643,0.46482,1.58364,1.52564,1.0436,0.004307,0.004307,0.004307
44,6803.69,1.49084,1.03237,1.095,0.8102,0.6804,0.7659,0.46676,1.55062,1.90238,1.03718,0.0042905,0.0042905,0.0042905
45,6952.08,1.48615,1.03181,1.09392,0.82878,0.66342,0.75733,0.47517,1.60197,1.54777,1.04927,0.004274,0.004274,0.004274
46,7102.03,1.47872,1.02298,1.09101,0.815,0.67532,0.77086,0.47188,1.54352,1.52427,1.01949,0.0042575,0.0042575,0.0042575
47,7250.51,1.47707,1.01576,1.09064,0.8273,0.65584,0.75992,0.46438,1.59747,1.52801,1.05803,0.004241,0.004241,0.004241
48,7399.19,1.47562,1.01549,1.09277,0.81768,0.67844,0.76572,0.46153,1.57819,1.62938,1.03433,0.0042245,0.0042245,0.0042245
49,7547.6,1.47745,1.01774,1.09145,0.81568,0.67107,0.77576,0.47614,1.54602,1.38209,1.02593,0.004208,0.004208,0.004208
50,7698.25,1.46974,1.0084,1.08658,0.83029,0.66701,0.76436,0.45678,1.62793,1.60205,1.05832,0.0041915,0.0041915,0.0041915
51,7846.2,1.46044,1.0048,1.08732,0.80643,0.65136,0.75756,0.45797,1.53842,1.60395,1.02119,0.004175,0.004175,0.004175
52,7995.1,1.47826,1.00611,1.08961,0.81822,0.6672,0.77413,0.46437,1.56183,1.47922,1.0341,0.0041585,0.0041585,0.0041585
53,8145.21,1.45266,0.99331,1.07979,0.82448,0.68223,0.7763,0.4698,1.56333,1.53548,1.02708,0.004142,0.004142,0.004142
54,8292.8,1.4428,0.98222,1.07836,0.79985,0.68161,0.7754,0.482,1.59414,1.47355,1.0298,0.0041255,0.0041255,0.0041255
