epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.817,2.60321,2.39224,1.82281,0.60215,0.34265,0.38861,0.19266,2.21748,3.45291,1.41204,0.0684047,0.00166291,0.00166291
2,410.951,2.0108,1.73627,1.40013,0.67335,0.41421,0.48967,0.28191,1.99657,2.8014,1.26784,0.036727,0.00331859,0.00331859
3,561.986,1.89189,1.59743,1.32485,0.71352,0.44569,0.52536,0.30163,1.95026,3.77275,1.24348,0.00503835,0.00496327,0.00496327
4,713.996,1.83937,1.52232,1.28988,0.69827,0.4731,0.55409,0.32575,1.88174,6.0749,1.21784,0.0049505,0.0049505,0.0049505
5,866.091,1.79055,1.47131,1.26462,0.71591,0.52386,0.59924,0.34716,1.89059,5.80785,1.17144,0.004934,0.004934,0.004934
6,1014.77,1.76434,1.41876,1.2511,0.76215,0.50964,0.61224,0.36451,1.85042,4.14987,1.18565,0.0049175,0.0049175,0.0049175
7,1163.51,1.73299,1.38042,1.23953,0.71182,0.5533,0.63221,0.37013,1.88037,5.84776,1.18536,0.004901,0.004901,0.004901
8,1313.31,1.72627,1.36684,1.22481,0.7632,0.5868,0.67405,0.37959,1.76572,3.15221,1.12852,0.0048845,0.0048845,0.0048845
9,1461.3,1.7005,1.33388,1.21422,0.78672,0.56923,0.68007,0.37935,1.78837,2.23083,1.12755,0.004868,0.004868,0.004868
10,1611.07,1.69623,1.32473,1.20837,0.79788,0.56108,0.66377,0.36631,1.81541,2.94397,1.12015,0.0048515,0.0048515,0.0048515
11,1759.79,1.68052,1.29414,1.20156,0.76213,0.5736,0.67331,0.39702,1.77153,2.75445,1.12924,0.004835,0.004835,0.004835
12,1908.49,1.675,1.29215,1.19962,0.77775,0.58376,0.67277,0.40444,1.76564,3.90776,1.12463,0.0048185,0.0048185,0.0048185
13,2057.78,1.65714,1.26434,1.18939,0.76982,0.5797,0.68239,0.39826,1.76421,2.21484,1.13193,0.004802,0.004802,0.004802
14,2207.73,1.65812,1.27498,1.18783,0.79119,0.61547,0.71027,0.41849,1.68272,2.91973,1.08512,0.0047855,0.0047855,0.0047855
15,2358.06,1.63659,1.23074,1.17638,0.8083,0.56853,0.68663,0.42135,1.66247,1.92212,1.08594,0.004769,0.004769,0.004769
16,2507.91,1.62692,1.22952,1.17199,0.81312,0.59594,0.70278,0.39729,1.71564,2.04605,1.10322,0.0047525,0.0047525,0.0047525
17,2659.09,1.61966,1.2133,1.17168,0.80117,0.59289,0.70285,0.42265,1.68519,2.89196,1.09512,0.004736,0.004736,0.004736
18,2812.01,1.61829,1.20752,1.1649,0.7784,0.60203,0.6919,0.38931,1.74717,2.11352,1.09866,0.0047195,0.0047195,0.0047195
19,2961.29,1.60076,1.19032,1.15859,0.80467,0.58883,0.69293,0.40303,1.69637,2.61234,1.08408,0.004703,0.004703,0.004703
20,3109.41,1.61005,1.19645,1.15805,0.80456,0.58883,0.6967,0.43163,1.62228,1.98753,1.06766,0.0046865,0.0046865,0.0046865
21,3258.47,1.58996,1.17388,1.14903,0.82075,0.61624,0.72418,0.40125,1.70775,1.94181,1.09448,0.00467,0.00467,0.00467
22,3406.31,1.58517,1.16829,1.1499,0.83123,0.60914,0.73454,0.43125,1.72707,1.81237,1.1037,0.0046535,0.0046535,0.0046535
23,3553.78,1.58323,1.16037,1.14882,0.79833,0.59797,0.70851,0.36312,1.7961,1.66146,1.12401,0.004637,0.004637,0.004637
24,3701.72,1.57668,1.15439,1.14333,0.82729,0.62132,0.73175,0.43888,1.70805,1.89252,1.10064,0.0046205,0.0046205,0.0046205
25,3850.85,1.5696,1.13862,1.14551,0.83074,0.63147,0.72993,0.43441,1.70384,1.85205,1.07855,0.004604,0.004604,0.004604
26,3999.06,1.56076,1.12284,1.1366,0.80395,0.612,0.7214,0.3873,1.80035,1.61596,1.10895,0.0045875,0.0045875,0.0045875
27,4147.21,1.55021,1.11526,1.13087,0.81276,0.61695,0.72358,0.40727,1.76313,2.13495,1.11824,0.004571,0.004571,0.004571
28,4293.3,1.5617,1.12506,1.13838,0.81341,0.60508,0.72086,0.40196,1.7388,1.69878,1.09785,0.0045545,0.0045545,0.0045545
29,4440.19,1.55494,1.12931,1.13443,0.83095,0.61726,0.7357,0.45592,1.65138,2.13828,1.07308,0.004538,0.004538,0.004538
30,4589.03,1.53697,1.1089,1.12573,0.80137,0.60914,0.71238,0.37382,1.7843,1.76173,1.10408,0.0045215,0.0045215,0.0045215
31,4735.71,1.52761,1.0914,1.12344,0.83065,0.61929,0.74452,0.42436,1.74203,1.80337,1.09419,0.004505,0.004505,0.004505
32,4883.9,1.54749,1.10654,1.13083,0.78581,0.65279,0.74503,0.45905,1.62726,1.92033,1.0658,0.0044885,0.0044885,0.0044885
33,5032.52,1.52688,1.08195,1.12086,0.80606,0.61827,0.73373,0.40802,1.72271,1.68626,1.10092,0.004472,0.004472,0.004472
34,5180.32,1.51736,1.07225,1.11223,0.79085,0.63959,0.73469,0.43018,1.67359,2.1306,1.07848,0.0044555,0.0044555,0.0044555
35,5327.83,1.51638,1.07036,1.11683,0.80934,0.62922,0.73476,0.44906,1.68528,1.85345,1.0809,0.004439,0.004439,0.004439
36,5474.69,1.50758,1.05303,1.1123,0.81344,0.65076,0.76089,0.45337,1.69102,1.64728,1.08702,0.0044225,0.0044225,0.0044225
37,286.281,1.52892,1.07562,1.12627,0.7862,0.66396,0.7546,0.46222,1.62881,1.64373,1.07004,0.004406,0.004406,0.004406
38,436.213,1.50925,1.05673,1.11825,0.83433,0.6467,0.75692,0.44704,1.67123,1.54585,1.08008,0.0043895,0.0043895,0.0043895
39,582.914,1.50736,1.05083,1.11362,0.80498,0.6467,0.74929,0.42511,1.73345,1.83547,1.09416,0.004373,0.004373,0.004373
40,731.828,1.50145,1.0424,1.10876,0.80197,0.65782,0.75557,0.46463,1.65226,1.51561,1.0685,0.0043565,0.0043565,0.0043565
41,880.737,1.48341,1.02662,1.10478,0.80602,0.65888,0.75617,0.44288,1.66183,1.6803,1.07124,0.00434,0.00434,0.00434
42,1028.73,1.49087,1.03453,1.10889,0.81958,0.6802,0.77408,0.4776,1.63931,1.61153,1.05827,0.0043235,0.0043235,0.0043235
43,1176.61,1.46963,1.01539,1.10326,0.83074,0.63756,0.75764,0.43548,1.6807,1.62292,1.07575,0.004307,0.004307,0.004307
44,1324.75,1.49292,1.03166,1.10452,0.80839,0.67411,0.76397,0.4592,1.6647,1.62771,1.07447,0.0042905,0.0042905,0.0042905
45,1471.58,1.46514,1.00588,1.09693,0.80922,0.64467,0.74821,0.42782,1.6764,1.69692,1.07514,0.004274,0.004274,0.004274
