epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,273.997,2.60232,2.36166,1.81107,0.60268,0.39492,0.43066,0.22359,2.22598,4.28544,1.40971,0.0684047,0.00166291,0.00166291
2,409.525,2.01268,1.74987,1.40255,0.67212,0.46599,0.52105,0.29693,2.0513,4.47903,1.28266,0.036727,0.00331859,0.00331859
3,547.658,1.89189,1.6041,1.32666,0.66022,0.43959,0.501,0.27541,1.93888,10.5712,1.22109,0.00503835,0.00496327,0.00496327
4,682.378,1.83595,1.5318,1.2895,0.73254,0.51441,0.5955,0.3487,1.89029,5.34712,1.19739,0.0049505,0.0049505,0.0049505
5,818.133,1.78266,1.45811,1.25871,0.76574,0.50863,0.59647,0.36189,1.9302,3.94463,1.20863,0.004934,0.004934,0.004934
6,954.38,1.76392,1.42946,1.24947,0.7884,0.53334,0.63547,0.37081,1.80106,2.61039,1.14489,0.0049175,0.0049175,0.0049175
7,1092.8,1.73686,1.40533,1.23933,0.76996,0.5097,0.60559,0.36188,1.88135,6.05102,1.1844,0.004901,0.004901,0.004901
8,1228.06,1.73363,1.38055,1.22314,0.78624,0.55736,0.66039,0.38778,1.80549,2.42984,1.13844,0.0048845,0.0048845,0.0048845
9,1366.69,1.70768,1.3534,1.21577,0.77673,0.56862,0.65997,0.36659,1.86405,2.95273,1.16497,0.004868,0.004868,0.004868
10,1505.5,1.70112,1.34299,1.20776,0.78335,0.5797,0.67475,0.3945,1.71942,2.79625,1.0943,0.0048515,0.0048515,0.0048515
11,1641.58,1.67548,1.30742,1.19732,0.82103,0.5401,0.6506,0.3909,1.7653,2.07336,1.1115,0.004835,0.004835,0.004835
12,1778.82,1.67781,1.30751,1.19765,0.81124,0.55431,0.66449,0.40758,1.68489,2.43264,1.10375,0.0048185,0.0048185,0.0048185
13,1912.47,1.66111,1.27936,1.18777,0.79821,0.59188,0.67357,0.41471,1.762,3.0737,1.13138,0.004802,0.004802,0.004802
14,2047.17,1.65808,1.27943,1.18434,0.75945,0.59797,0.6777,0.40889,1.76128,3.05306,1.13863,0.0047855,0.0047855,0.0047855
15,2180.63,1.64243,1.24824,1.17542,0.79721,0.56548,0.67851,0.42522,1.66173,2.03312,1.0697,0.004769,0.004769,0.004769
16,2314.63,1.63644,1.25004,1.17276,0.81844,0.57207,0.69128,0.42674,1.6911,2.30297,1.09435,0.0047525,0.0047525,0.0047525
17,2449.05,1.62187,1.22956,1.16884,0.78449,0.5868,0.69018,0.41984,1.66461,3.22247,1.09105,0.004736,0.004736,0.004736
18,2583.81,1.6207,1.22352,1.16241,0.73459,0.54518,0.6365,0.39039,1.69043,2.69656,1.10103,0.0047195,0.0047195,0.0047195
19,2718.99,1.61219,1.21632,1.1615,0.77991,0.59594,0.68705,0.41047,1.72162,1.93586,1.10652,0.004703,0.004703,0.004703
20,2853.35,1.61431,1.19724,1.15667,0.74101,0.53604,0.63331,0.33938,1.78247,2.10461,1.12555,0.0046865,0.0046865,0.0046865
21,2989.23,1.59704,1.19454,1.15073,0.82179,0.57157,0.68849,0.41077,1.6828,2.35187,1.09776,0.00467,0.00467,0.00467
22,3122.26,1.59787,1.18826,1.1521,0.81965,0.59391,0.71276,0.44627,1.66069,1.97479,1.09176,0.0046535,0.0046535,0.0046535
23,3256.81,1.58966,1.17593,1.1471,0.81694,0.56954,0.694,0.4281,1.67762,1.86984,1.08173,0.004637,0.004637,0.004637
24,3392.71,1.58641,1.17498,1.14498,0.81607,0.60406,0.71663,0.44093,1.63881,2.47154,1.07808,0.0046205,0.0046205,0.0046205
25,3527.01,1.57629,1.15424,1.1465,0.81981,0.63147,0.72946,0.456,1.6227,1.74392,1.05918,0.004604,0.004604,0.004604
26,3663.69,1.57308,1.14664,1.14033,0.81577,0.58883,0.71054,0.43687,1.62442,1.81692,1.06963,0.0045875,0.0045875,0.0045875
27,3797.32,1.56823,1.14228,1.13535,0.822,0.6132,0.723,0.44602,1.65847,1.64369,1.07983,0.004571,0.004571,0.004571
28,3931.2,1.57315,1.14068,1.14139,0.84788,0.60203,0.73343,0.44635,1.61329,1.68347,1.06691,0.0045545,0.0045545,0.0045545
29,4066.25,1.55848,1.13821,1.13255,0.82151,0.61523,0.72747,0.44953,1.64267,2.18144,1.07899,0.004538,0.004538,0.004538
30,4201.13,1.55638,1.12875,1.13041,0.80064,0.60344,0.71169,0.44107,1.63815,1.92841,1.07324,0.0045215,0.0045215,0.0045215
31,4336.82,1.54726,1.11774,1.12925,0.8142,0.62283,0.73116,0.44915,1.62915,1.69512,1.06723,0.004505,0.004505,0.004505
32,4471.55,1.54902,1.11455,1.12715,0.79285,0.64893,0.73979,0.46553,1.58805,1.84172,1.05793,0.0044885,0.0044885,0.0044885
33,4608.6,1.539,1.10559,1.12265,0.80907,0.62132,0.72771,0.45283,1.62784,1.69938,1.06024,0.004472,0.004472,0.004472
34,4742.3,1.53633,1.10346,1.11757,0.83764,0.61827,0.73467,0.4615,1.52957,1.65361,1.04245,0.0044555,0.0044555,0.0044555
35,4875.57,1.53473,1.10103,1.12064,0.83951,0.63195,0.74363,0.46424,1.59697,1.73332,1.06395,0.004439,0.004439,0.004439
36,5010.75,1.52668,1.08338,1.11667,0.82486,0.65506,0.75477,0.46846,1.58355,1.63292,1.05555,0.0044225,0.0044225,0.0044225
37,5144.85,1.53051,1.08916,1.11813,0.79075,0.6467,0.74521,0.47566,1.56956,1.60838,1.05018,0.004406,0.004406,0.004406
38,5280.29,1.52555,1.07589,1.11519,0.82753,0.65076,0.75513,0.4736,1.59156,1.60713,1.05087,0.0043895,0.0043895,0.0043895
39,5412.47,1.52547,1.06846,1.11424,0.77919,0.64129,0.74136,0.46016,1.56964,2.02584,1.04088,0.004373,0.004373,0.004373
40,5545.86,1.52332,1.07137,1.11027,0.83896,0.58707,0.71957,0.44852,1.61771,1.79538,1.07053,0.0043565,0.0043565,0.0043565
41,5680.41,1.51327,1.06501,1.11442,0.81076,0.64806,0.74941,0.46471,1.58098,1.93129,1.05804,0.00434,0.00434,0.00434
42,5812.97,1.51413,1.06474,1.1119,0.81216,0.66719,0.75613,0.47495,1.5651,1.85724,1.05076,0.0043235,0.0043235,0.0043235
43,5947.59,1.50937,1.05899,1.1104,0.81745,0.66701,0.74312,0.45946,1.57737,1.90371,1.05683,0.004307,0.004307,0.004307
44,6082.51,1.49211,1.03912,1.10058,0.81548,0.66904,0.76764,0.47352,1.58797,1.69679,1.05868,0.0042905,0.0042905,0.0042905
