epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.64,2.88068,2.18466,1.55557,0.54358,0.31777,0.3521,0.1806,2.65213,13.7503,1.15084,0.0684047,0.00166291,0.00166291
2,327.86,2.12301,1.5299,1.20733,0.66929,0.41624,0.48458,0.26194,2.37213,3.4679,1.06834,0.036727,0.00331859,0.00331859
3,438.576,1.97968,1.3857,1.15118,0.7393,0.40203,0.49122,0.2796,2.22641,7.37131,1.04063,0.00503835,0.00496327,0.00496327
4,546.849,1.90459,1.31202,1.12451,0.6875,0.42234,0.49621,0.27421,2.21748,3.57562,1.04416,0.0049505,0.0049505,0.0049505
5,655.148,1.85084,1.26261,1.10744,0.73035,0.46193,0.55523,0.32676,2.10439,5.42314,1.01372,0.004934,0.004934,0.004934
6,765.955,1.81167,1.22884,1.09628,0.78441,0.49746,0.59517,0.33485,2.05169,2.28521,0.98813,0.0049175,0.0049175,0.0049175
7,873.428,1.77341,1.19803,1.08749,0.7381,0.50357,0.58655,0.34629,2.02842,4.88818,0.98293,0.004901,0.004901,0.004901
8,982.499,1.75987,1.17964,1.07477,0.75206,0.53909,0.62538,0.35964,1.99134,5.75648,0.97282,0.0048845,0.0048845,0.0048845
9,1091.15,1.73495,1.15226,1.06918,0.82454,0.54619,0.64943,0.34797,2.01713,3.43029,0.97627,0.004868,0.004868,0.004868
10,1199.84,1.71871,1.12853,1.06206,0.8132,0.55838,0.65534,0.38352,1.97318,3.39275,0.96276,0.0048515,0.0048515,0.0048515
11,1308.74,1.69861,1.1107,1.0582,0.78225,0.51675,0.61718,0.35461,1.96997,3.31184,0.97253,0.004835,0.004835,0.004835
12,1415.99,1.70499,1.11712,1.05923,0.7602,0.54315,0.62449,0.34545,1.92261,8.23192,0.95992,0.0048185,0.0048185,0.0048185
13,1524.68,1.67484,1.08707,1.04788,0.81353,0.57665,0.66544,0.38306,1.96454,3.97852,0.96954,0.004802,0.004802,0.004802
14,1634.61,1.6689,1.08858,1.04651,0.81251,0.57636,0.67131,0.38422,1.8841,4.06465,0.95421,0.0047855,0.0047855,0.0047855
15,1742.6,1.65301,1.0648,1.04155,0.84823,0.57056,0.68126,0.39686,1.90554,2.875,0.95291,0.004769,0.004769,0.004769
16,1851.29,1.64211,1.05751,1.04046,0.81433,0.58173,0.68101,0.39337,1.90527,2.69851,0.96492,0.0047525,0.0047525,0.0047525
17,1961.33,1.63754,1.05472,1.04159,0.82412,0.55127,0.6535,0.38446,1.91174,4.14472,0.96857,0.004736,0.004736,0.004736
18,2071.9,1.63254,1.04591,1.03228,0.80267,0.56447,0.67193,0.39251,1.87017,2.21003,0.94703,0.0047195,0.0047195,0.0047195
19,2182.82,1.62522,1.04411,1.03215,0.77972,0.60371,0.68991,0.40931,1.85514,3.14337,0.95162,0.004703,0.004703,0.004703
20,2293.19,1.61961,1.02693,1.02703,0.80658,0.5927,0.69027,0.41983,1.80994,1.94411,0.95025,0.0046865,0.0046865,0.0046865
21,2403.08,1.61528,1.02148,1.02664,0.8113,0.61982,0.71535,0.41346,1.83804,1.67484,0.94314,0.00467,0.00467,0.00467
22,2515.27,1.59834,1.00932,1.02458,0.79061,0.6132,0.70517,0.4174,1.83791,2.60903,0.94553,0.0046535,0.0046535,0.0046535
23,2624.61,1.59456,1.01145,1.02123,0.84262,0.59794,0.70012,0.40612,1.84373,2.36574,0.9507,0.004637,0.004637,0.004637
24,2733.28,1.58234,1.00041,1.01868,0.83178,0.6074,0.70748,0.42085,1.85305,1.93937,0.95467,0.0046205,0.0046205,0.0046205
25,2840.59,1.56942,0.98701,1.016,0.83673,0.60609,0.71046,0.43049,1.78311,1.8037,0.9363,0.004604,0.004604,0.004604
26,2946.93,1.57545,0.98651,1.01474,0.80161,0.60812,0.70165,0.39722,1.84393,1.73658,0.95205,0.0045875,0.0045875,0.0045875
27,3054.11,1.57325,0.98729,1.01335,0.77201,0.59797,0.68274,0.37882,1.92253,1.86175,0.96118,0.004571,0.004571,0.004571
28,3160.05,1.57044,0.98047,1.01496,0.81593,0.62437,0.71612,0.39069,1.84556,2.01538,0.9482,0.0045545,0.0045545,0.0045545
29,3264.92,1.55489,0.96931,1.0115,0.80804,0.61117,0.7099,0.43349,1.81061,2.71108,0.93634,0.004538,0.004538,0.004538
30,3373.78,1.53992,0.95819,1.00752,0.8145,0.60711,0.70767,0.41057,1.79912,2.78351,0.93855,0.0045215,0.0045215,0.0045215
31,3479.94,1.54287,0.96128,1.00689,0.81951,0.61827,0.71381,0.42416,1.81715,1.83366,0.93987,0.004505,0.004505,0.004505
32,3585.53,1.54844,0.95707,1.00831,0.82383,0.63619,0.72288,0.43491,1.85746,1.86539,0.94881,0.0044885,0.0044885,0.0044885
33,3694.47,1.53286,0.94475,1.00305,0.79871,0.64053,0.72397,0.44473,1.74861,1.91996,0.93674,0.004472,0.004472,0.004472
34,3802.1,1.52326,0.93628,0.99475,0.83412,0.63756,0.73147,0.43994,1.77774,1.8876,0.94381,0.0044555,0.0044555,0.0044555
35,3908.68,1.53225,0.9458,1.0013,0.82999,0.63441,0.72685,0.42043,1.81824,1.97972,0.94552,0.004439,0.004439,0.004439
36,4015.17,1.51651,0.92653,0.99536,0.86396,0.63756,0.73953,0.42142,1.79155,1.97818,0.94657,0.0044225,0.0044225,0.0044225
37,4121.78,1.52919,0.94279,0.99996,0.83949,0.63147,0.74066,0.43167,1.75856,1.92563,0.93403,0.004406,0.004406,0.004406
38,4228.84,1.5241,0.93574,0.99872,0.84432,0.62767,0.73116,0.44504,1.81731,1.61365,0.94168,0.0043895,0.0043895,0.0043895
39,4335.57,1.51279,0.91927,0.99329,0.77908,0.63553,0.72079,0.43164,1.77239,2.33915,0.9424,0.004373,0.004373,0.004373
40,4442.67,1.50744,0.92094,0.98839,0.87091,0.60609,0.72521,0.43598,1.7294,1.81953,0.93382,0.0043565,0.0043565,0.0043565
41,4549.43,1.50861,0.92017,0.999,0.81557,0.64061,0.72931,0.44093,1.70229,2.37461,0.92783,0.00434,0.00434,0.00434
42,4656.39,1.50464,0.92328,0.99357,0.83998,0.62843,0.73355,0.44788,1.72036,1.82316,0.92742,0.0043235,0.0043235,0.0043235
43,4762.63,1.48794,0.90748,0.99114,0.85801,0.61523,0.72694,0.42155,1.79359,2.07963,0.94184,0.004307,0.004307,0.004307
44,4870.96,1.48973,0.90928,0.98764,0.81844,0.63156,0.72789,0.43347,1.77376,1.879,0.93275,0.0042905,0.0042905,0.0042905
45,4979.33,1.47737,0.89882,0.98453,0.84854,0.63134,0.73207,0.44229,1.75233,1.75555,0.93353,0.004274,0.004274,0.004274
46,5089.86,1.47773,0.89918,0.98437,0.86601,0.64162,0.73731,0.44057,1.68922,1.93272,0.92007,0.0042575,0.0042575,0.0042575
47,5195.72,1.476,0.89283,0.98399,0.83993,0.63392,0.73721,0.43578,1.72652,1.53233,0.92525,0.004241,0.004241,0.004241
48,5302.27,1.49015,0.9042,0.98961,0.81535,0.65451,0.74201,0.43754,1.7058,1.75185,0.92506,0.0042245,0.0042245,0.0042245
49,5410.98,1.47838,0.89856,0.98433,0.84963,0.63553,0.74516,0.45225,1.70981,1.55631,0.92411,0.004208,0.004208,0.004208
50,5517.29,1.47179,0.88956,0.98226,0.84185,0.62437,0.73836,0.42608,1.72641,1.62259,0.92788,0.0041915,0.0041915,0.0041915
51,5624.35,1.46086,0.88941,0.9823,0.86556,0.634,0.74405,0.4445,1.69102,1.72436,0.92102,0.004175,0.004175,0.004175
