epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1612,2.86177,2.13997,1.58093,0.58336,0.31699,0.35931,0.18858,2.56621,22.6331,1.11141,0.0684047,0.00166291,0.00166291
2,97.0477,2.11475,1.50075,1.20917,0.77141,0.38579,0.47352,0.26015,2.31192,7.01533,1.05871,0.036727,0.00331859,0.00331859
3,143.18,1.95322,1.35858,1.14759,0.77226,0.43377,0.52516,0.29891,2.38875,4.01861,1.07395,0.00503835,0.00496327,0.00496327
4,189.188,1.87338,1.28097,1.12145,0.71443,0.49036,0.56656,0.31175,2.28233,5.32071,1.04533,0.0049505,0.0049505,0.0049505
5,235.38,1.82989,1.2405,1.10308,0.71942,0.48157,0.55674,0.31396,2.06574,4.56079,0.9926,0.004934,0.004934,0.004934
6,281.403,1.77431,1.18511,1.08559,0.70988,0.48629,0.55833,0.30668,2.10545,4.85697,1.014,0.0049175,0.0049175,0.0049175
7,327.106,1.7501,1.16461,1.07729,0.77659,0.52995,0.6164,0.35779,1.97699,3.08542,0.983,0.004901,0.004901,0.004901
8,372.594,1.72939,1.13916,1.07083,0.77791,0.54518,0.62718,0.3685,1.95753,2.94388,0.98253,0.0048845,0.0048845,0.0048845
9,418.229,1.70001,1.10717,1.06123,0.80797,0.52893,0.64672,0.38026,2.00005,2.44966,0.97113,0.004868,0.004868,0.004868
10,463.93,1.69744,1.09976,1.05556,0.74603,0.55025,0.6364,0.37456,1.88309,5.03078,0.95991,0.0048515,0.0048515,0.0048515
11,509.642,1.68145,1.08617,1.0502,0.75646,0.57868,0.66539,0.36122,1.96076,2.81575,0.97212,0.004835,0.004835,0.004835
12,555.453,1.67629,1.08409,1.05082,0.80955,0.56531,0.66675,0.37588,1.88073,2.39922,0.96164,0.0048185,0.0048185,0.0048185
13,601.534,1.64995,1.06321,1.04181,0.80897,0.57766,0.67056,0.37078,1.88569,3.58242,0.96194,0.004802,0.004802,0.004802
14,647.965,1.63447,1.04417,1.03639,0.82749,0.5269,0.64743,0.3806,1.98378,2.54959,0.97669,0.0047855,0.0047855,0.0047855
15,694.538,1.62113,1.02895,1.03283,0.83365,0.56984,0.67413,0.37478,1.9564,2.46773,0.96398,0.004769,0.004769,0.004769
16,740.458,1.63771,1.04411,1.04044,0.7946,0.58579,0.67523,0.37365,1.93304,2.11939,0.96732,0.0047525,0.0047525,0.0047525
17,786.077,1.6187,1.02861,1.0312,0.80267,0.54923,0.6428,0.33381,1.97544,4.52176,0.9665,0.004736,0.004736,0.004736
18,831.96,1.60798,1.01711,1.02851,0.84147,0.59275,0.70487,0.40297,1.87802,1.87928,0.9524,0.0047195,0.0047195,0.0047195
19,878.026,1.60862,1.01274,1.02929,0.78151,0.57259,0.66376,0.33363,1.92091,2.28615,0.96348,0.004703,0.004703,0.004703
