epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.082,2.59296,2.35522,1.80649,0.52128,0.33706,0.35658,0.19139,2.31244,4.4861,1.40912,0.0684047,0.00166291,0.00166291
2,247.779,1.99321,1.70692,1.39959,0.67115,0.41421,0.48908,0.27831,2.02807,2.70213,1.26722,0.036727,0.00331859,0.00331859
3,370.057,1.87295,1.54585,1.31795,0.72303,0.46193,0.54887,0.29577,1.92309,6.0329,1.19578,0.00503835,0.00496327,0.00496327
4,491.937,1.82613,1.48735,1.28715,0.72915,0.49036,0.57268,0.29692,1.91529,6.22432,1.19377,0.0049505,0.0049505,0.0049505
5,613.747,1.78154,1.43302,1.25792,0.69948,0.48528,0.55185,0.33539,1.84486,4.1467,1.18848,0.004934,0.004934,0.004934
6,734.812,1.73441,1.36887,1.23729,0.77977,0.55228,0.64827,0.39955,1.82602,2.78517,1.15593,0.0049175,0.0049175,0.0049175
7,855.29,1.71768,1.34912,1.22475,0.77322,0.53096,0.63831,0.38507,1.84103,2.33624,1.16874,0.004901,0.004901,0.004901
8,976.389,1.69711,1.31249,1.21529,0.77933,0.57563,0.67104,0.4084,1.78518,1.92653,1.13742,0.0048845,0.0048845,0.0048845
9,1097.92,1.67183,1.274,1.19826,0.79899,0.57303,0.67889,0.4056,1.75357,2.14872,1.1057,0.004868,0.004868,0.004868
10,1219.48,1.66854,1.26567,1.18786,0.76763,0.55838,0.65876,0.39963,1.76669,2.47778,1.12761,0.0048515,0.0048515,0.0048515
11,1340.86,1.66072,1.25745,1.18714,0.84647,0.57094,0.69119,0.37697,1.83305,1.83636,1.14356,0.004835,0.004835,0.004835
12,1462.61,1.64182,1.23634,1.17976,0.82382,0.55635,0.68564,0.41643,1.79125,1.91728,1.14207,0.0048185,0.0048185,0.0048185
13,1583.62,1.63765,1.23149,1.17645,0.85859,0.61024,0.71953,0.44219,1.73013,1.7942,1.10845,0.004802,0.004802,0.004802
14,1705.05,1.61613,1.19918,1.1636,0.82677,0.59596,0.70713,0.42203,1.74468,1.79443,1.12191,0.0047855,0.0047855,0.0047855
15,1826.18,1.59628,1.1814,1.15615,0.80712,0.63959,0.7299,0.44666,1.69579,1.98938,1.09427,0.004769,0.004769,0.004769
16,1948.11,1.6109,1.19271,1.16593,0.82215,0.60541,0.70795,0.41953,1.68392,2.00563,1.09316,0.0047525,0.0047525,0.0047525
17,2069.67,1.59532,1.17439,1.15496,0.83032,0.61105,0.73019,0.40675,1.73685,1.73692,1.10162,0.004736,0.004736,0.004736
18,2191.24,1.59164,1.16173,1.15228,0.8112,0.63553,0.73237,0.42848,1.67776,1.78565,1.07616,0.0047195,0.0047195,0.0047195
19,2312.81,1.58658,1.14827,1.15071,0.84115,0.60406,0.72628,0.38794,1.72967,1.78512,1.10124,0.004703,0.004703,0.004703
20,2433.87,1.56551,1.12865,1.14091,0.8416,0.62029,0.74429,0.42806,1.7243,1.76978,1.09071,0.0046865,0.0046865,0.0046865
21,2555.94,1.57102,1.12953,1.1398,0.79553,0.5868,0.69768,0.40204,1.69775,1.72345,1.08341,0.00467,0.00467,0.00467
22,2677.66,1.56184,1.118,1.1372,0.81509,0.59898,0.70368,0.37202,1.74914,1.62226,1.0779,0.0046535,0.0046535,0.0046535
23,2799.3,1.5557,1.112,1.13544,0.83839,0.62944,0.73159,0.43747,1.63892,1.74202,1.06848,0.004637,0.004637,0.004637
24,2921.49,1.54263,1.09247,1.12557,0.81923,0.63147,0.73634,0.43356,1.66759,1.86367,1.07889,0.0046205,0.0046205,0.0046205
