epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.762,2.60139,2.36173,1.8495,0.50479,0.33633,0.33923,0.17242,2.31383,17.9551,1.42827,0.0684047,0.00166291,0.00166291
2,365.096,1.9999,1.7252,1.41866,0.67868,0.43756,0.50319,0.28158,1.98581,7.97983,1.2579,0.036727,0.00331859,0.00331859
3,485.978,1.89724,1.62087,1.35206,0.72159,0.45076,0.52816,0.30112,1.96972,2.85482,1.27083,0.00503835,0.00496327,0.00496327
4,607.241,1.86083,1.54895,1.32332,0.73332,0.47513,0.55807,0.33461,2.08233,2.79556,1.30129,0.0049505,0.0049505,0.0049505
5,730.641,1.80398,1.47732,1.2795,0.75706,0.52893,0.61316,0.36651,1.88757,2.96398,1.20906,0.004934,0.004934,0.004934
6,852.341,1.76205,1.42443,1.25468,0.80799,0.48528,0.59319,0.35544,1.88936,2.64654,1.21285,0.0049175,0.0049175,0.0049175
7,972.794,1.74829,1.40663,1.24682,0.78143,0.5408,0.6469,0.37971,1.8708,3.60475,1.18714,0.004901,0.004901,0.004901
8,1095.01,1.72486,1.37224,1.23033,0.78742,0.57259,0.65738,0.38393,1.74728,2.89727,1.1411,0.0048845,0.0048845,0.0048845
9,1217.67,1.69984,1.35539,1.21985,0.75564,0.54213,0.62767,0.35934,1.83337,3.62617,1.17224,0.004868,0.004868,0.004868
10,1337.34,1.67851,1.31612,1.20764,0.78263,0.53706,0.6382,0.38522,1.74599,2.07468,1.13349,0.0048515,0.0048515,0.0048515
11,1458.02,1.6806,1.30932,1.20076,0.79426,0.55533,0.66056,0.39564,1.72875,2.14037,1.12358,0.004835,0.004835,0.004835
12,1578.32,1.66828,1.31063,1.20263,0.8014,0.53807,0.65669,0.39534,1.69205,3.47102,1.10667,0.0048185,0.0048185,0.0048185
13,1697.56,1.65247,1.27297,1.18837,0.76734,0.59898,0.69294,0.42825,1.73175,2.01439,1.11993,0.004802,0.004802,0.004802
14,1818.31,1.65268,1.27221,1.18635,0.80018,0.60575,0.70579,0.39564,1.71641,2.02617,1.12774,0.0047855,0.0047855,0.0047855
15,1938.01,1.63724,1.25432,1.18216,0.78176,0.59391,0.68065,0.42572,1.68008,2.68961,1.10505,0.004769,0.004769,0.004769
16,2058.19,1.63495,1.24855,1.17827,0.77689,0.58173,0.68761,0.42602,1.70492,2.96489,1.11572,0.0047525,0.0047525,0.0047525
17,2178.65,1.62153,1.23132,1.17217,0.7922,0.58057,0.66879,0.39816,1.83036,3.51211,1.18099,0.004736,0.004736,0.004736
18,2299.1,1.62673,1.23181,1.16823,0.74517,0.59289,0.67898,0.40435,1.73052,3.14776,1.12232,0.0047195,0.0047195,0.0047195
19,2420.36,1.61354,1.21016,1.16462,0.82659,0.61726,0.71686,0.45471,1.66393,2.03023,1.09445,0.004703,0.004703,0.004703
20,2542.81,1.61958,1.20644,1.16593,0.77763,0.59188,0.69177,0.42724,1.6517,1.92234,1.08607,0.0046865,0.0046865,0.0046865
21,2665.38,1.60341,1.18474,1.15323,0.82476,0.60406,0.71934,0.42343,1.66411,1.74531,1.08562,0.00467,0.00467,0.00467
22,2785.92,1.59976,1.1781,1.1517,0.81324,0.61007,0.72012,0.42699,1.69648,1.98113,1.11759,0.0046535,0.0046535,0.0046535
23,2905.84,1.58811,1.16494,1.15045,0.83742,0.6223,0.7305,0.44619,1.64015,1.97776,1.07981,0.004637,0.004637,0.004637
24,3028,1.5796,1.15723,1.14839,0.81806,0.6071,0.70765,0.44628,1.68304,1.86436,1.10766,0.0046205,0.0046205,0.0046205
25,3147.09,1.57396,1.16576,1.14584,0.83139,0.61929,0.73286,0.44843,1.60803,1.67146,1.066,0.004604,0.004604,0.004604
26,3267.6,1.56715,1.1413,1.14264,0.83044,0.61827,0.72493,0.42981,1.64556,1.57487,1.07114,0.0045875,0.0045875,0.0045875
27,3390.04,1.56267,1.13269,1.13768,0.82908,0.61218,0.72593,0.44267,1.68566,1.57602,1.09544,0.004571,0.004571,0.004571
28,3510.23,1.57619,1.15097,1.14667,0.82664,0.62234,0.7327,0.4229,1.67928,1.72444,1.08436,0.0045545,0.0045545,0.0045545
29,3633.58,1.56132,1.13822,1.13117,0.81158,0.64365,0.7378,0.46119,1.66169,1.70667,1.0968,0.004538,0.004538,0.004538
30,3757.06,1.548,1.12255,1.12968,0.85809,0.61726,0.72551,0.43719,1.64402,1.72279,1.07194,0.0045215,0.0045215,0.0045215
31,3878.37,1.54366,1.1022,1.12582,0.83288,0.6527,0.74796,0.45414,1.62264,2.11164,1.0629,0.004505,0.004505,0.004505
32,3996.71,1.54343,1.11214,1.13158,0.82358,0.63249,0.73242,0.45722,1.62489,1.75965,1.06972,0.0044885,0.0044885,0.0044885
33,4117.78,1.54508,1.10915,1.1292,0.81017,0.64126,0.73901,0.44546,1.6162,1.58914,1.07039,0.004472,0.004472,0.004472
34,4238.75,1.53803,1.09749,1.1226,0.81953,0.65005,0.74709,0.46665,1.60553,1.69043,1.06497,0.0044555,0.0044555,0.0044555
35,4360.74,1.53343,1.09233,1.122,0.84952,0.61897,0.7274,0.44843,1.67265,1.63508,1.08825,0.004439,0.004439,0.004439
36,4481.44,1.52786,1.09494,1.12019,0.84819,0.64061,0.76149,0.47157,1.57988,1.70715,1.05637,0.0044225,0.0044225,0.0044225
37,4602.79,1.51428,1.06988,1.11352,0.82685,0.64975,0.75592,0.46357,1.59708,1.57278,1.05616,0.004406,0.004406,0.004406
38,4723.76,1.51717,1.07167,1.11616,0.81357,0.65126,0.74538,0.46338,1.59154,1.65945,1.05445,0.0043895,0.0043895,0.0043895
39,4845.79,1.5233,1.07583,1.11525,0.82104,0.65207,0.74988,0.45825,1.60691,2.23744,1.0597,0.004373,0.004373,0.004373
40,4966.61,1.51381,1.06415,1.10928,0.80584,0.64889,0.7451,0.46362,1.64258,1.60577,1.07902,0.0043565,0.0043565,0.0043565
41,5086.04,1.50157,1.05396,1.10899,0.84128,0.65787,0.7566,0.45811,1.6405,1.62463,1.07633,0.00434,0.00434,0.00434
42,5208.24,1.52069,1.06596,1.1126,0.8678,0.62335,0.75382,0.45105,1.68087,1.6442,1.0997,0.0043235,0.0043235,0.0043235
43,5329.97,1.49611,1.04526,1.10631,0.8288,0.65857,0.76582,0.47799,1.59843,1.58444,1.06065,0.004307,0.004307,0.004307
44,5449.86,1.50397,1.04739,1.10738,0.80674,0.67807,0.76695,0.48052,1.54638,1.57142,1.04152,0.0042905,0.0042905,0.0042905
45,5571.23,1.48872,1.03716,1.10341,0.85342,0.65381,0.77095,0.48119,1.5732,1.44611,1.04468,0.004274,0.004274,0.004274
46,5691.98,1.48769,1.03153,1.10426,0.8593,0.63863,0.76422,0.46154,1.60615,1.5875,1.06152,0.0042575,0.0042575,0.0042575
47,5812.92,1.47957,1.02863,1.0957,0.81631,0.65888,0.75802,0.46026,1.67565,1.8813,1.09316,0.004241,0.004241,0.004241
48,5934.49,1.48473,1.02702,1.10067,0.84336,0.66802,0.76764,0.46166,1.60183,1.50172,1.05707,0.0042245,0.0042245,0.0042245
49,6055,1.46763,1.01106,1.09105,0.81654,0.66193,0.76023,0.47725,1.60806,1.70291,1.06413,0.004208,0.004208,0.004208
50,6176.09,1.47986,1.01853,1.09363,0.83561,0.66193,0.7603,0.4611,1.6112,1.53556,1.06911,0.0041915,0.0041915,0.0041915
51,6297.23,1.46651,1.0088,1.09103,0.82809,0.65888,0.77011,0.47916,1.60323,1.56719,1.06428,0.004175,0.004175,0.004175
52,6418.09,1.47454,1.01406,1.09299,0.82876,0.66802,0.77271,0.48524,1.56313,1.42255,1.04672,0.0041585,0.0041585,0.0041585
53,6538.44,1.46346,1.01025,1.09139,0.83246,0.65787,0.75872,0.47038,1.63272,1.6174,1.06358,0.004142,0.004142,0.004142
54,6659.75,1.46883,1.01019,1.09244,0.83316,0.67428,0.77393,0.48914,1.59322,1.5785,1.05689,0.0041255,0.0041255,0.0041255
55,6780.31,1.44914,0.99051,1.08221,0.83963,0.65888,0.76931,0.47823,1.65875,1.52098,1.07772,0.004109,0.004109,0.004109
