epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.767,2.59034,2.35017,1.827,0.57261,0.36142,0.39141,0.20085,2.37346,5.91193,1.50971,0.0684047,0.00166291,0.00166291
2,250.108,1.99071,1.69066,1.40923,0.6571,0.38985,0.44948,0.22578,2.06096,7.07637,1.30296,0.036727,0.00331859,0.00331859
3,371.982,1.87853,1.55359,1.33597,0.74487,0.47614,0.56276,0.31773,1.92061,3.89756,1.22654,0.00503835,0.00496327,0.00496327
4,493.722,1.82249,1.48411,1.30294,0.78303,0.5066,0.61169,0.34896,1.86758,2.65654,1.19826,0.0049505,0.0049505,0.0049505
5,615.254,1.79511,1.45598,1.27827,0.70933,0.53019,0.60062,0.36268,1.9065,2.42167,1.22109,0.004934,0.004934,0.004934
6,736.478,1.73951,1.37819,1.25109,0.76304,0.52183,0.61682,0.37882,1.80491,2.22014,1.15457,0.0049175,0.0049175,0.0049175
7,857.226,1.72011,1.35027,1.23638,0.76306,0.56142,0.65697,0.39772,1.78495,2.67363,1.14778,0.004901,0.004901,0.004901
8,978.289,1.70038,1.31892,1.22761,0.76343,0.55431,0.65089,0.39063,1.7627,2.72005,1.13803,0.0048845,0.0048845,0.0048845
9,1099.91,1.6777,1.29091,1.21368,0.76146,0.53503,0.6283,0.37901,1.77441,2.68539,1.13866,0.004868,0.004868,0.004868
10,1221.2,1.67346,1.27965,1.20223,0.75361,0.54651,0.63012,0.39405,1.71517,2.58725,1.13278,0.0048515,0.0048515,0.0048515
11,1342.58,1.66763,1.26606,1.20085,0.80146,0.57157,0.67365,0.36952,1.81634,2.3848,1.1425,0.004835,0.004835,0.004835
12,1463.65,1.64382,1.24464,1.18824,0.78139,0.56244,0.65621,0.39651,1.71695,2.56444,1.11933,0.0048185,0.0048185,0.0048185
13,1584.61,1.63309,1.22796,1.1817,0.81375,0.60305,0.70824,0.39976,1.7134,2.06978,1.09648,0.004802,0.004802,0.004802
14,1705.52,1.61834,1.2045,1.17321,0.78347,0.58274,0.68296,0.41231,1.73363,2.23411,1.10875,0.0047855,0.0047855,0.0047855
15,1826.97,1.60428,1.18356,1.16714,0.80948,0.59957,0.70929,0.43808,1.68961,2.43652,1.10295,0.004769,0.004769,0.004769
16,1948.22,1.60142,1.18583,1.16705,0.77067,0.57657,0.67006,0.41262,1.68826,1.83557,1.09393,0.0047525,0.0047525,0.0047525
17,2068.73,1.60616,1.18735,1.16613,0.83381,0.59593,0.71496,0.42174,1.68754,1.88318,1.09792,0.004736,0.004736,0.004736
18,2189.75,1.59298,1.16928,1.16138,0.8485,0.59492,0.71585,0.43418,1.63974,1.78696,1.07813,0.0047195,0.0047195,0.0047195
19,2310.91,1.59176,1.15767,1.15862,0.81314,0.60524,0.72016,0.41061,1.65861,1.88295,1.07876,0.004703,0.004703,0.004703
20,2431.52,1.57163,1.14592,1.15215,0.80405,0.63738,0.73281,0.45133,1.6357,1.67167,1.08539,0.0046865,0.0046865,0.0046865
21,2553.22,1.57653,1.1383,1.1478,0.83261,0.60609,0.73281,0.46591,1.63558,1.68406,1.07064,0.00467,0.00467,0.00467
22,2675.29,1.56482,1.12705,1.14533,0.82317,0.63803,0.73924,0.41742,1.74893,1.66752,1.09752,0.0046535,0.0046535,0.0046535
23,2797.02,1.56349,1.12969,1.14438,0.81348,0.63046,0.7333,0.46062,1.63406,1.71592,1.07006,0.004637,0.004637,0.004637
24,2919.19,1.55053,1.10537,1.13308,0.81385,0.61117,0.71592,0.42992,1.6569,1.90569,1.09608,0.0046205,0.0046205,0.0046205
25,3040.44,1.54861,1.11229,1.13672,0.7994,0.63452,0.73953,0.45696,1.6609,1.60803,1.07381,0.004604,0.004604,0.004604
26,3162.19,1.54491,1.10502,1.12971,0.80413,0.61827,0.72289,0.41607,1.68817,1.58292,1.08057,0.0045875,0.0045875,0.0045875
27,3282.75,1.52729,1.08558,1.12555,0.79471,0.63959,0.73391,0.40043,1.69695,2.04616,1.08171,0.004571,0.004571,0.004571
28,3404.17,1.51992,1.07177,1.12305,0.81127,0.60406,0.71852,0.40381,1.66503,1.81359,1.07022,0.0045545,0.0045545,0.0045545
29,3525.63,1.52014,1.07806,1.12008,0.82571,0.64264,0.75263,0.43598,1.64885,1.55769,1.06961,0.004538,0.004538,0.004538
30,3647.16,1.51232,1.05884,1.11882,0.81284,0.66497,0.75758,0.43791,1.67691,1.61456,1.0757,0.0045215,0.0045215,0.0045215
