epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.87,2.89449,2.18752,1.58208,0.53334,0.3198,0.31718,0.14681,2.50671,13.0726,1.10928,0.0684047,0.00166291,0.00166291
2,321.968,2.11566,1.52022,1.20956,0.75408,0.33311,0.42096,0.22673,2.56605,3.26805,1.11364,0.036727,0.00331859,0.00331859
3,439.516,1.99536,1.39178,1.15711,0.70551,0.39594,0.47642,0.27249,2.46727,4.59318,1.10276,0.00503835,0.00496327,0.00496327
4,557.794,1.90607,1.30643,1.12402,0.75349,0.44997,0.55012,0.30584,2.17565,3.07956,1.02753,0.0049505,0.0049505,0.0049505
5,674.449,1.85531,1.26096,1.10784,0.74569,0.49746,0.58162,0.34182,2.16628,2.97132,1.01919,0.004934,0.004934,0.004934
6,792.903,1.80946,1.21624,1.09557,0.7646,0.51574,0.60885,0.35352,2.00098,2.05218,0.98401,0.0049175,0.0049175,0.0049175
7,911.12,1.76772,1.18362,1.08447,0.79056,0.50969,0.61542,0.3544,2.13753,2.74525,1.00854,0.004901,0.004901,0.004901
8,1028.54,1.76129,1.17818,1.0721,0.7921,0.54154,0.63815,0.36763,1.97482,2.20759,0.97461,0.0048845,0.0048845,0.0048845
9,1146.95,1.72786,1.14222,1.067,0.79152,0.51649,0.6019,0.31668,2.00005,3.92151,0.97068,0.004868,0.004868,0.004868
10,1266.35,1.726,1.13255,1.06655,0.75464,0.52081,0.60735,0.34021,1.9709,6.70473,0.96997,0.0048515,0.0048515,0.0048515
11,1384.95,1.69362,1.10072,1.05743,0.76295,0.56142,0.63633,0.34212,2.01432,4.13571,0.98258,0.004835,0.004835,0.004835
12,1499.73,1.69693,1.10574,1.05715,0.79254,0.55459,0.65537,0.38456,1.88334,2.79037,0.95272,0.0048185,0.0048185,0.0048185
13,1616.68,1.66647,1.07399,1.04551,0.7881,0.5401,0.63088,0.3604,1.95221,3.91464,0.96725,0.004802,0.004802,0.004802
14,1732.09,1.67373,1.08569,1.04762,0.77991,0.54325,0.6431,0.36236,1.90155,3.87811,0.95868,0.0047855,0.0047855,0.0047855
15,1848.47,1.63902,1.05383,1.03862,0.79017,0.57728,0.67571,0.37862,1.84162,2.41643,0.94374,0.004769,0.004769,0.004769
16,1966.26,1.63431,1.04485,1.03901,0.84138,0.57563,0.68219,0.38234,1.89972,1.94844,0.95065,0.0047525,0.0047525,0.0047525
17,2086.25,1.63364,1.04826,1.04037,0.80255,0.54058,0.64962,0.37894,1.80525,3.7742,0.94977,0.004736,0.004736,0.004736
18,2205.72,1.6216,1.03078,1.0304,0.78903,0.57462,0.67272,0.36453,1.88149,2.3988,0.96087,0.0047195,0.0047195,0.0047195
19,2327.62,1.61047,1.02351,1.03025,0.82428,0.61015,0.69926,0.40949,1.84694,2.21401,0.94709,0.004703,0.004703,0.004703
20,2450.52,1.60867,1.01532,1.02609,0.7797,0.5868,0.67684,0.40585,1.84907,1.80146,0.95686,0.0046865,0.0046865,0.0046865
21,2570.55,1.59554,1.0022,1.02273,0.81976,0.58985,0.68607,0.38095,1.94319,3.71072,0.97879,0.00467,0.00467,0.00467
22,2688.4,1.57961,0.99158,1.01925,0.82588,0.61638,0.7117,0.41585,1.786,2.54152,0.94286,0.0046535,0.0046535,0.0046535
23,2806.77,1.57485,0.98716,1.01653,0.80017,0.59797,0.6991,0.40307,1.82059,1.81973,0.95624,0.004637,0.004637,0.004637
24,2924.92,1.56688,0.98092,1.01465,0.82618,0.6,0.69644,0.40131,1.84956,2.27543,0.95026,0.0046205,0.0046205,0.0046205
25,3041.9,1.55829,0.9631,1.0148,0.79867,0.60009,0.69493,0.39903,1.85174,2.38236,0.93438,0.004604,0.004604,0.004604
26,3166.51,1.54653,0.95401,1.00861,0.82921,0.61121,0.7212,0.40792,1.84254,1.69363,0.94082,0.0045875,0.0045875,0.0045875
27,3292.73,1.54949,0.95822,1.00671,0.80743,0.60872,0.70481,0.39791,1.81066,2.14422,0.94379,0.004571,0.004571,0.004571
28,3412.67,1.55209,0.967,1.0122,0.77945,0.59492,0.69261,0.36813,1.87397,2.53467,0.95043,0.0045545,0.0045545,0.0045545
29,3531.02,1.54005,0.9494,1.00893,0.8032,0.6,0.70608,0.41913,1.80538,1.96635,0.93827,0.004538,0.004538,0.004538
30,3651.77,1.52775,0.93678,1.00372,0.80132,0.59188,0.70104,0.38952,1.79432,2.37565,0.93425,0.0045215,0.0045215,0.0045215
31,3772.13,1.5183,0.93608,1.00061,0.82559,0.61032,0.71491,0.40089,1.78384,2.0537,0.93773,0.004505,0.004505,0.004505
32,3892.16,1.52055,0.93067,1.00122,0.82376,0.61215,0.70646,0.42023,1.89094,1.94107,0.97356,0.0044885,0.0044885,0.0044885
33,4014.29,1.51069,0.92162,0.99923,0.79996,0.62741,0.72225,0.42347,1.82616,2.15472,0.94378,0.004472,0.004472,0.004472
34,4135.91,1.50193,0.91686,0.99049,0.83391,0.63452,0.72898,0.40957,1.77108,2.03928,0.94502,0.0044555,0.0044555,0.0044555
35,4257.08,1.50452,0.92067,0.99535,0.85894,0.61421,0.72895,0.42083,1.79594,1.68267,0.93854,0.004439,0.004439,0.004439
36,4376.72,1.49202,0.90133,0.98997,0.8009,0.63298,0.7253,0.38043,1.85541,2.35355,0.95101,0.0044225,0.0044225,0.0044225
37,4497.24,1.48727,0.90499,0.99143,0.8049,0.65178,0.73239,0.4102,1.79078,1.7515,0.94038,0.004406,0.004406,0.004406
38,4617.44,1.49697,0.90922,0.99265,0.84375,0.61948,0.72643,0.43576,1.83202,1.7198,0.95359,0.0043895,0.0043895,0.0043895
39,4736.85,1.49207,0.89925,0.99124,0.81208,0.64569,0.73398,0.43397,1.7939,2.11151,0.93843,0.004373,0.004373,0.004373
40,4858.2,1.48485,0.89859,0.98463,0.84963,0.63147,0.73743,0.42195,1.80158,1.86928,0.94394,0.0043565,0.0043565,0.0043565
41,4980.2,1.47561,0.89203,0.9927,0.80198,0.65375,0.73204,0.42364,1.73382,1.86922,0.9289,0.00434,0.00434,0.00434
42,5099.94,1.47872,0.89574,0.98849,0.83932,0.64264,0.74682,0.45284,1.72038,1.54682,0.92737,0.0043235,0.0043235,0.0043235
43,5221.64,1.4533,0.87808,0.98484,0.82892,0.62964,0.73121,0.41248,1.74615,1.66428,0.93514,0.004307,0.004307,0.004307
44,5343.14,1.46156,0.8822,0.9811,0.83487,0.64569,0.74058,0.43019,1.73486,1.56641,0.93215,0.0042905,0.0042905,0.0042905
45,5462.33,1.45081,0.87197,0.97957,0.79913,0.64622,0.73261,0.37952,1.83003,1.72784,0.94179,0.004274,0.004274,0.004274
46,5583.5,1.45598,0.87343,0.97982,0.80919,0.64579,0.73984,0.39866,1.79552,1.59512,0.93367,0.0042575,0.0042575,0.0042575
47,5704.61,1.45173,0.86987,0.97902,0.80556,0.64162,0.72815,0.42732,1.79416,1.7019,0.93962,0.004241,0.004241,0.004241
48,5824.64,1.45586,0.87044,0.98356,0.81418,0.65836,0.73888,0.42138,1.75848,2.18527,0.93037,0.0042245,0.0042245,0.0042245
49,5944.73,1.44896,0.87225,0.97838,0.81966,0.64873,0.74483,0.42809,1.72774,1.5485,0.92883,0.004208,0.004208,0.004208
50,6064.36,1.44256,0.86242,0.97557,0.85025,0.62132,0.73494,0.40333,1.81946,1.65966,0.94352,0.0041915,0.0041915,0.0041915
51,260.118,1.461,0.87544,0.98944,0.84114,0.62538,0.73865,0.42814,1.81229,1.70458,0.95466,0.004175,0.004175,0.004175
52,384.533,1.44405,0.86646,0.98775,0.82235,0.64772,0.74108,0.42113,1.76291,1.79622,0.93507,0.0041585,0.0041585,0.0041585
53,504.598,1.43595,0.85931,0.97999,0.83878,0.61421,0.72629,0.38792,1.80382,1.76063,0.9389,0.004142,0.004142,0.004142
54,625.678,1.42864,0.85315,0.97674,0.82562,0.64411,0.74299,0.43751,1.7351,2.0257,0.93267,0.0041255,0.0041255,0.0041255
55,748.374,1.43043,0.85135,0.9796,0.87155,0.62335,0.75312,0.42121,1.77958,1.6197,0.93473,0.004109,0.004109,0.004109
56,869.711,1.42894,0.84799,0.97961,0.83644,0.63553,0.7473,0.4372,1.74516,1.52149,0.93175,0.0040925,0.0040925,0.0040925
57,992.508,1.41113,0.8399,0.97803,0.84805,0.63461,0.74678,0.41961,1.77438,1.64453,0.94214,0.004076,0.004076,0.004076
58,1114,1.41713,0.84171,0.97241,0.82613,0.65888,0.75117,0.41054,1.76664,1.56598,0.93081,0.0040595,0.0040595,0.0040595
59,1234.19,1.41679,0.8449,0.97555,0.83627,0.6264,0.7381,0.41656,1.7341,1.55527,0.93302,0.004043,0.004043,0.004043
60,1357.38,1.39844,0.83302,0.96963,0.81533,0.65482,0.74802,0.43902,1.73877,1.53825,0.92766,0.0040265,0.0040265,0.0040265
61,1481.57,1.40382,0.83096,0.97307,0.83658,0.64061,0.74095,0.42404,1.72907,1.57569,0.93202,0.00401,0.00401,0.00401
62,1606.09,1.39892,0.83064,0.97121,0.86198,0.6467,0.75539,0.44157,1.7343,1.50982,0.93035,0.0039935,0.0039935,0.0039935
63,1727.14,1.39343,0.82734,0.96823,0.85162,0.65584,0.75185,0.43576,1.76935,1.52029,0.92932,0.003977,0.003977,0.003977
64,1848.15,1.38773,0.82167,0.96724,0.84289,0.66497,0.75774,0.44793,1.72281,1.46939,0.92784,0.0039605,0.0039605,0.0039605
65,1971.77,1.37921,0.81932,0.96525,0.83374,0.63639,0.74948,0.42338,1.75285,1.74389,0.93398,0.003944,0.003944,0.003944
66,2093.2,1.37611,0.81715,0.96619,0.83535,0.66294,0.75218,0.42893,1.72888,1.44049,0.92714,0.0039275,0.0039275,0.0039275
67,2212.79,1.3667,0.81178,0.9652,0.84286,0.66396,0.7639,0.4461,1.70235,1.48872,0.93468,0.003911,0.003911,0.003911
68,2335.07,1.37404,0.8129,0.96308,0.7923,0.66996,0.7453,0.42108,1.75139,1.59537,0.92649,0.0038945,0.0038945,0.0038945
69,2454.86,1.37216,0.81276,0.96403,0.83436,0.66478,0.75167,0.4337,1.76349,1.53809,0.93042,0.003878,0.003878,0.003878
70,2577.47,1.36586,0.8061,0.96016,0.87343,0.64569,0.75566,0.43225,1.72506,1.4784,0.92552,0.0038615,0.0038615,0.0038615
71,2697.83,1.38027,0.80672,0.96243,0.82275,0.67858,0.76741,0.46471,1.68512,1.403,0.92388,0.003845,0.003845,0.003845
72,2819.47,1.34755,0.79489,0.95772,0.80927,0.6802,0.75629,0.42394,1.70974,1.41096,0.91899,0.0038285,0.0038285,0.0038285
73,2939.85,1.35906,0.80153,0.95907,0.83455,0.66062,0.75727,0.42511,1.72548,1.47091,0.9268,0.003812,0.003812,0.003812
74,3057.93,1.34894,0.79461,0.95701,0.84312,0.64928,0.75565,0.41561,1.77498,1.51242,0.93761,0.0037955,0.0037955,0.0037955
75,3179.38,1.34879,0.79008,0.95937,0.84699,0.64772,0.75004,0.43704,1.73616,1.51986,0.9295,0.003779,0.003779,0.003779
76,3298.42,1.34836,0.78989,0.95715,0.82857,0.66733,0.76314,0.44346,1.70882,1.47794,0.91705,0.0037625,0.0037625,0.0037625
77,3420.91,1.35402,0.78957,0.95541,0.84644,0.64912,0.75485,0.43663,1.72217,1.4189,0.92903,0.003746,0.003746,0.003746
78,3543.97,1.3584,0.79376,0.96054,0.82736,0.65787,0.75562,0.44104,1.72748,1.43846,0.91989,0.0037295,0.0037295,0.0037295
79,3666.61,1.3527,0.7912,0.95952,0.83417,0.66388,0.75989,0.44561,1.69426,1.40592,0.92169,0.003713,0.003713,0.003713
80,3790.6,1.32893,0.78293,0.95373,0.82993,0.67107,0.76244,0.43089,1.71635,1.40082,0.92514,0.0036965,0.0036965,0.0036965
81,3911.4,1.33469,0.78586,0.95472,0.82369,0.66396,0.75853,0.41682,1.70568,1.39847,0.92463,0.00368,0.00368,0.00368
82,4034.67,1.32269,0.78067,0.95127,0.8401,0.66193,0.76383,0.45543,1.67992,1.37355,0.91499,0.0036635,0.0036635,0.0036635
83,4154.66,1.31909,0.77152,0.95084,0.84328,0.67194,0.76118,0.43249,1.70721,1.46066,0.91996,0.003647,0.003647,0.003647
84,4273.67,1.32277,0.77701,0.9472,0.85172,0.65897,0.76119,0.43834,1.6995,1.41367,0.92342,0.0036305,0.0036305,0.0036305
85,4394.18,1.32559,0.77749,0.95071,0.85813,0.65076,0.7678,0.4367,1.72077,1.38891,0.92182,0.003614,0.003614,0.003614
86,4515.97,1.31456,0.76844,0.94664,0.84671,0.66172,0.7536,0.4056,1.76257,1.46082,0.93141,0.0035975,0.0035975,0.0035975
87,4637.54,1.32268,0.77592,0.94998,0.84422,0.66021,0.76777,0.43873,1.73209,1.37768,0.92966,0.003581,0.003581,0.003581
88,4757.41,1.31308,0.7691,0.94803,0.83819,0.66262,0.76355,0.42627,1.70877,1.36986,0.9251,0.0035645,0.0035645,0.0035645
89,4877.91,1.30968,0.76369,0.94625,0.8641,0.66488,0.7671,0.42875,1.72338,1.32599,0.9284,0.003548,0.003548,0.003548
90,4999.73,1.31127,0.76612,0.94311,0.84991,0.67208,0.7709,0.44342,1.71199,1.30943,0.9279,0.0035315,0.0035315,0.0035315
91,5122.6,1.30033,0.76085,0.9494,0.85845,0.65263,0.76049,0.41251,1.74974,1.36801,0.93542,0.003515,0.003515,0.003515
92,5248.31,1.30487,0.76549,0.94794,0.84922,0.66904,0.76605,0.42938,1.71651,1.29087,0.92383,0.0034985,0.0034985,0.0034985
93,5371.71,1.29504,0.75585,0.94493,0.8458,0.66193,0.75982,0.43055,1.69956,1.41008,0.92388,0.003482,0.003482,0.003482
94,5496.08,1.29666,0.75513,0.94223,0.83178,0.67005,0.76731,0.44437,1.67696,1.3596,0.92149,0.0034655,0.0034655,0.0034655
95,5619.79,1.28455,0.75316,0.93988,0.84862,0.64882,0.75973,0.42823,1.69949,1.33997,0.92505,0.003449,0.003449,0.003449
96,5743.09,1.28777,0.75341,0.94055,0.82956,0.68629,0.77486,0.45362,1.70401,1.28567,0.9269,0.0034325,0.0034325,0.0034325
97,5868.48,1.28434,0.74955,0.93944,0.8602,0.65888,0.76859,0.43797,1.774,1.35011,0.94087,0.003416,0.003416,0.003416
98,5990.87,1.2909,0.75103,0.94207,0.85664,0.67339,0.77821,0.45749,1.66597,1.3023,0.91501,0.0033995,0.0033995,0.0033995
99,6115.92,1.27826,0.74934,0.93721,0.85677,0.66294,0.76977,0.43951,1.68967,1.33301,0.92256,0.003383,0.003383,0.003383
100,6239.99,1.27901,0.74737,0.93786,0.88148,0.64569,0.77215,0.43652,1.69802,1.29943,0.92233,0.0033665,0.0033665,0.0033665
101,6366.2,1.27811,0.74601,0.94078,0.84531,0.65466,0.77071,0.43056,1.70518,1.33954,0.92464,0.00335,0.00335,0.00335
102,6485.02,1.30229,0.75215,0.94438,0.82374,0.66802,0.77352,0.44994,1.69587,1.29717,0.92599,0.0033335,0.0033335,0.0033335
103,6607.06,1.27801,0.74554,0.93843,0.85467,0.66091,0.77086,0.44469,1.69059,1.30663,0.92275,0.003317,0.003317,0.003317
104,6727.3,1.28412,0.74679,0.94098,0.84529,0.67116,0.77402,0.43614,1.70208,1.29576,0.92671,0.0033005,0.0033005,0.0033005
105,6849.77,1.2776,0.74339,0.93694,0.85963,0.67208,0.77503,0.44269,1.70114,1.32809,0.92396,0.003284,0.003284,0.003284
106,6974.57,1.27634,0.74024,0.93926,0.85286,0.67086,0.77432,0.43632,1.69082,1.30428,0.92539,0.0032675,0.0032675,0.0032675
107,7097.58,1.2724,0.73731,0.93901,0.84739,0.67644,0.77784,0.44792,1.69066,1.31101,0.92203,0.003251,0.003251,0.003251
108,7220.51,1.28081,0.73973,0.93944,0.83094,0.68223,0.77038,0.43842,1.69529,1.33017,0.92255,0.0032345,0.0032345,0.0032345
109,7343.33,1.2662,0.73614,0.93507,0.84635,0.68223,0.77181,0.4401,1.69602,1.2829,0.9202,0.003218,0.003218,0.003218
110,7467.73,1.27425,0.73734,0.93655,0.86731,0.65076,0.76574,0.4264,1.71991,1.33152,0.93223,0.0032015,0.0032015,0.0032015
111,7589.3,1.27056,0.73468,0.93521,0.84728,0.67005,0.77298,0.44636,1.66134,1.32175,0.91541,0.003185,0.003185,0.003185
112,7712.08,1.25595,0.72875,0.93232,0.85628,0.66599,0.7778,0.45052,1.66657,1.28024,0.91807,0.0031685,0.0031685,0.0031685
113,7836.71,1.26097,0.73185,0.93373,0.83897,0.67702,0.77025,0.43359,1.7485,1.29615,0.93646,0.003152,0.003152,0.003152
114,7958.25,1.25623,0.72787,0.93227,0.82701,0.68528,0.77256,0.44158,1.7402,1.29703,0.9329,0.0031355,0.0031355,0.0031355
115,8083.54,1.24479,0.72624,0.93072,0.85529,0.65787,0.76825,0.43682,1.74366,1.28706,0.93784,0.003119,0.003119,0.003119
116,8208.32,1.25264,0.7256,0.93034,0.86771,0.6467,0.77098,0.42914,1.74274,1.28189,0.9349,0.0031025,0.0031025,0.0031025
