epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.224,2.85241,2.14845,1.55262,0.64781,0.3198,0.38811,0.19117,2.48837,7.76448,1.08551,0.0684047,0.00166291,0.00166291
2,336.461,2.09671,1.5025,1.19687,0.65736,0.43249,0.49122,0.25801,2.38068,3.86971,1.06027,0.036727,0.00331859,0.00331859
3,446.089,1.97727,1.3798,1.14983,0.68106,0.43249,0.50245,0.2822,2.27647,6.12362,1.06202,0.00503835,0.00496327,0.00496327
4,558.137,1.89535,1.30777,1.11966,0.76844,0.4132,0.51825,0.27871,2.13914,2.989,0.99536,0.0049505,0.0049505,0.0049505
5,666.374,1.84176,1.2518,1.10158,0.72694,0.47107,0.54835,0.33371,2.13085,3.25996,1.02283,0.004934,0.004934,0.004934
6,776.818,1.8047,1.21333,1.09071,0.722,0.51679,0.59657,0.33474,2.19232,3.34409,1.01882,0.0049175,0.0049175,0.0049175
7,888.677,1.77772,1.19716,1.08856,0.80733,0.51066,0.61131,0.35404,2.04176,4.15612,0.99066,0.004901,0.004901,0.004901
8,998.424,1.77027,1.18451,1.07557,0.77196,0.55533,0.64701,0.3636,2.03872,3.76479,0.98419,0.0048845,0.0048845,0.0048845
9,1107.84,1.7426,1.15597,1.07064,0.79204,0.4802,0.59788,0.30195,2.04062,2.88417,0.99115,0.004868,0.004868,0.004868
10,1216.3,1.72658,1.13669,1.06548,0.75115,0.56751,0.6472,0.37187,1.87898,2.43963,0.94499,0.0048515,0.0048515,0.0048515
11,1326.01,1.70643,1.11046,1.06024,0.73031,0.5636,0.64212,0.35815,1.9285,3.94351,0.96229,0.004835,0.004835,0.004835
12,1436.63,1.70231,1.1143,1.0572,0.79969,0.55431,0.65872,0.37539,1.90179,2.50625,0.96064,0.0048185,0.0048185,0.0048185
13,1545.67,1.68426,1.09022,1.05,0.82889,0.55431,0.67709,0.39891,1.96453,2.40807,0.96402,0.004802,0.004802,0.004802
14,1655.64,1.67579,1.08796,1.04801,0.80217,0.55025,0.66602,0.38223,1.89305,2.18586,0.95729,0.0047855,0.0047855,0.0047855
15,1762.94,1.65356,1.06461,1.04158,0.79623,0.57056,0.676,0.40107,1.92501,1.94946,0.96843,0.004769,0.004769,0.004769
16,1871.41,1.64977,1.06403,1.04228,0.7593,0.58477,0.6753,0.37553,1.84441,2.15638,0.94576,0.0047525,0.0047525,0.0047525
17,1981.25,1.63666,1.056,1.0396,0.75101,0.5797,0.6581,0.38297,1.89235,2.5361,0.95716,0.004736,0.004736,0.004736
18,2088.6,1.63539,1.04535,1.03278,0.7625,0.57365,0.67158,0.38056,1.88561,2.30645,0.95809,0.0047195,0.0047195,0.0047195
19,2198.51,1.62449,1.0369,1.03231,0.82997,0.58477,0.69152,0.40387,1.90809,2.34732,0.96116,0.004703,0.004703,0.004703
