epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.255,2.94155,2.20428,1.57939,0.57336,0.31789,0.34891,0.17997,2.59569,4.67405,1.12382,0.0684047,0.00166291,0.00166291
2,321.712,2.14193,1.526,1.20828,0.70797,0.41349,0.48552,0.23988,2.32013,3.27603,1.05867,0.036727,0.00331859,0.00331859
3,420.646,2.0026,1.41954,1.1627,0.76796,0.39312,0.50832,0.28001,2.27021,3.48464,1.03076,0.00503835,0.00496327,0.00496327
4,517.966,1.91645,1.33853,1.13246,0.73053,0.44264,0.53507,0.29916,2.13834,2.73742,1.00414,0.0049505,0.0049505,0.0049505
5,615.157,1.85108,1.28391,1.10725,0.74663,0.43756,0.5322,0.30933,1.96048,2.92414,0.97734,0.004934,0.004934,0.004934
6,713.555,1.81042,1.22636,1.09369,0.77335,0.49442,0.60314,0.3445,1.99355,2.73546,0.978,0.0049175,0.0049175,0.0049175
7,810.078,1.78657,1.2095,1.08587,0.67371,0.51472,0.58591,0.34346,1.97941,2.28936,0.97609,0.004901,0.004901,0.004901
8,907.191,1.75961,1.17553,1.0777,0.74809,0.51556,0.61345,0.35281,1.91486,2.73658,0.96296,0.0048845,0.0048845,0.0048845
9,1005.3,1.74039,1.16886,1.07423,0.78614,0.54416,0.63211,0.34725,1.94788,3.20119,0.96546,0.004868,0.004868,0.004868
10,1102.31,1.71107,1.12979,1.06778,0.83328,0.51675,0.6434,0.37912,1.89673,2.28847,0.9598,0.0048515,0.0048515,0.0048515
11,1199.9,1.71685,1.12949,1.06054,0.76985,0.54213,0.63334,0.37568,1.95329,3.03712,0.97265,0.004835,0.004835,0.004835
12,1297.43,1.69206,1.11683,1.05823,0.75459,0.57126,0.65302,0.36332,1.9912,3.62898,0.97312,0.0048185,0.0048185,0.0048185
13,1394.91,1.68518,1.10268,1.05359,0.78718,0.55576,0.65704,0.38886,1.92931,2.01465,0.96189,0.004802,0.004802,0.004802
14,1492.58,1.68033,1.0984,1.05055,0.79533,0.55626,0.65911,0.34558,1.90142,2.11291,0.95494,0.0047855,0.0047855,0.0047855
15,1591.28,1.66344,1.08123,1.05066,0.76123,0.55127,0.64436,0.38924,1.93224,4.03065,0.98347,0.004769,0.004769,0.004769
16,1689.86,1.6703,1.08257,1.05168,0.78785,0.58274,0.66727,0.38659,1.87861,2.39086,0.96059,0.0047525,0.0047525,0.0047525
17,1787.6,1.64713,1.05995,1.04209,0.80523,0.57056,0.67679,0.40461,1.87637,2.24983,0.96457,0.004736,0.004736,0.004736
18,1887.1,1.63805,1.05619,1.03555,0.81774,0.57157,0.68049,0.38168,1.90767,2.40913,0.95935,0.0047195,0.0047195,0.0047195
19,1985.69,1.64428,1.05105,1.03918,0.80877,0.58883,0.68328,0.40274,1.86771,2.6981,0.95568,0.004703,0.004703,0.004703
20,2085.49,1.63211,1.0415,1.03518,0.78357,0.60305,0.68326,0.40532,1.82385,1.98085,0.94579,0.0046865,0.0046865,0.0046865
21,2184.94,1.62332,1.03293,1.02895,0.78555,0.59594,0.68936,0.38742,1.86287,2.61278,0.9504,0.00467,0.00467,0.00467
22,2285.65,1.60994,1.01297,1.02302,0.82465,0.58248,0.68079,0.40957,1.83224,2.62946,0.9513,0.0046535,0.0046535,0.0046535
23,2383.97,1.59593,1.00917,1.02516,0.83075,0.59797,0.69821,0.40744,1.7872,2.23896,0.93297,0.004637,0.004637,0.004637
24,2482.2,1.59774,1.00423,1.02758,0.80475,0.60711,0.70738,0.43033,1.82701,2.25449,0.94776,0.0046205,0.0046205,0.0046205
25,2580.35,1.59459,1.00696,1.02464,0.84195,0.58985,0.70052,0.40955,1.83228,1.7901,0.94478,0.004604,0.004604,0.004604
26,2678.46,1.57476,0.98649,1.01896,0.79957,0.6075,0.69939,0.38351,1.87502,1.89219,0.94723,0.0045875,0.0045875,0.0045875
27,2777.54,1.56842,0.98403,1.01475,0.81838,0.61523,0.71443,0.39787,1.89246,1.71048,0.95472,0.004571,0.004571,0.004571
28,2876.61,1.58763,0.99328,1.02456,0.83415,0.5797,0.69922,0.36828,1.91998,1.79905,0.96009,0.0045545,0.0045545,0.0045545
29,2974.85,1.57009,0.98275,1.01168,0.86187,0.60178,0.72379,0.41908,1.83653,1.97226,0.94626,0.004538,0.004538,0.004538
30,3074.02,1.55633,0.97277,1.01221,0.81061,0.62335,0.72272,0.39027,1.85714,1.74393,0.95078,0.0045215,0.0045215,0.0045215
31,3172.46,1.53994,0.95619,1.00199,0.82224,0.62437,0.73062,0.43606,1.76384,1.77342,0.93001,0.004505,0.004505,0.004505
32,3269.95,1.53328,0.95312,1.01026,0.80247,0.60914,0.72204,0.43026,1.80026,1.57796,0.94347,0.0044885,0.0044885,0.0044885
33,3368.92,1.54526,0.95225,1.00987,0.81959,0.63858,0.73339,0.43942,1.80363,1.63176,0.94221,0.004472,0.004472,0.004472
34,3467.13,1.53732,0.94723,1.00325,0.7888,0.63655,0.72463,0.43282,1.78337,1.70252,0.9382,0.0044555,0.0044555,0.0044555
35,3564.91,1.53433,0.94405,1.00401,0.81515,0.61015,0.71271,0.42895,1.77933,1.82551,0.94179,0.004439,0.004439,0.004439
36,3662.97,1.53222,0.94599,1.00366,0.81064,0.62843,0.72427,0.4283,1.84553,1.69903,0.96009,0.0044225,0.0044225,0.0044225
37,3760.71,1.51441,0.92866,0.99701,0.7903,0.6264,0.71724,0.39095,1.83948,1.94804,0.94205,0.004406,0.004406,0.004406
38,3859.52,1.52394,0.93899,1.00349,0.83654,0.63908,0.74016,0.43095,1.78357,1.73243,0.94188,0.0043895,0.0043895,0.0043895
39,3956.59,1.5206,0.92642,0.99985,0.80165,0.66059,0.75064,0.42705,1.82023,2.0202,0.94277,0.004373,0.004373,0.004373
40,4054.96,1.54075,0.93686,1.00268,0.8326,0.63858,0.7419,0.43071,1.80794,1.69999,0.94597,0.0043565,0.0043565,0.0043565
41,4152.61,1.50277,0.91415,0.99562,0.83614,0.62165,0.72443,0.42107,1.80875,1.72748,0.94129,0.00434,0.00434,0.00434
42,4249.3,1.50992,0.91682,0.99546,0.83576,0.64264,0.74549,0.43985,1.779,1.5997,0.93657,0.0043235,0.0043235,0.0043235
43,4347.03,1.49859,0.91343,0.99473,0.82055,0.64991,0.74266,0.43511,1.79796,1.65435,0.94794,0.004307,0.004307,0.004307
44,4444.28,1.51061,0.91643,0.99535,0.84847,0.6132,0.74422,0.42337,1.79996,1.59416,0.9347,0.0042905,0.0042905,0.0042905
45,4541.27,1.49383,0.91042,0.99311,0.83594,0.6264,0.73902,0.42743,1.75956,1.53372,0.92739,0.004274,0.004274,0.004274
46,4640.44,1.48118,0.90087,0.99288,0.83778,0.61421,0.72368,0.40127,1.80318,1.82787,0.94018,0.0042575,0.0042575,0.0042575
47,4736.68,1.48102,0.89406,0.9858,0.81912,0.63858,0.74546,0.43129,1.74585,1.72052,0.92098,0.004241,0.004241,0.004241
