epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.386,2.64898,2.43321,1.82055,0.54882,0.33503,0.37133,0.20931,2.24117,7.35389,1.37801,0.0684047,0.00166291,0.00166291
2,491.35,2.01562,1.73793,1.38873,0.6699,0.40812,0.47885,0.27298,1.97688,4.49256,1.24935,0.036727,0.00331859,0.00331859
3,641.01,1.90062,1.62141,1.32399,0.68861,0.42437,0.48942,0.29276,1.92215,4.17166,1.2283,0.00503835,0.00496327,0.00496327
4,792.187,1.84243,1.53145,1.29609,0.752,0.50964,0.58703,0.31375,1.89505,3.99812,1.19021,0.0049505,0.0049505,0.0049505
5,944.388,1.79347,1.45934,1.2585,0.76501,0.50761,0.59697,0.34764,1.87447,3.57723,1.17267,0.004934,0.004934,0.004934
6,1094.66,1.76184,1.41351,1.2413,0.75336,0.53198,0.61677,0.37542,1.85017,2.37461,1.17412,0.0049175,0.0049175,0.0049175
7,1243.92,1.73819,1.3877,1.23105,0.74528,0.55228,0.63265,0.3833,1.88337,2.68725,1.20408,0.004901,0.004901,0.004901
8,1393.22,1.71609,1.35054,1.21645,0.78576,0.55108,0.65916,0.37415,1.74334,2.59106,1.11178,0.0048845,0.0048845,0.0048845
9,1542.26,1.69375,1.33374,1.20612,0.80196,0.57558,0.68289,0.39027,1.73957,2.06609,1.1143,0.004868,0.004868,0.004868
10,1691.81,1.67605,1.30121,1.19793,0.82486,0.5797,0.70644,0.41336,1.63835,2.72937,1.08175,0.0048515,0.0048515,0.0048515
11,1842.02,1.67767,1.29658,1.19375,0.81984,0.59391,0.69049,0.39531,1.76497,2.12659,1.09725,0.004835,0.004835,0.004835
12,1991.33,1.67297,1.28987,1.19741,0.76275,0.6,0.69551,0.42006,1.68517,3.35179,1.0965,0.0048185,0.0048185,0.0048185
13,2140.68,1.6567,1.26432,1.18413,0.77304,0.58376,0.68532,0.42692,1.70545,2.26267,1.10017,0.004802,0.004802,0.004802
14,2290.32,1.64782,1.26147,1.17761,0.77463,0.5868,0.69861,0.41633,1.69139,1.78328,1.09842,0.0047855,0.0047855,0.0047855
15,2438.82,1.63816,1.24128,1.17621,0.78494,0.58376,0.68309,0.42621,1.62517,3.17393,1.08144,0.004769,0.004769,0.004769
16,2586.2,1.63482,1.23011,1.17251,0.80666,0.57259,0.67325,0.422,1.72051,2.28833,1.11872,0.0047525,0.0047525,0.0047525
17,2735.54,1.62037,1.21936,1.16519,0.82071,0.57157,0.68516,0.42136,1.63777,2.03294,1.09318,0.004736,0.004736,0.004736
18,2886.37,1.61777,1.21387,1.1595,0.74693,0.57462,0.66013,0.38158,1.65538,2.96672,1.0841,0.0047195,0.0047195,0.0047195
19,3035.95,1.62239,1.20809,1.16353,0.7985,0.61152,0.71249,0.44528,1.66192,2.26713,1.08814,0.004703,0.004703,0.004703
20,3186.23,1.61775,1.19438,1.16004,0.75791,0.58883,0.68409,0.42444,1.6712,2.4704,1.10234,0.0046865,0.0046865,0.0046865
21,3336.76,1.60488,1.17928,1.15005,0.8187,0.61015,0.71638,0.43927,1.60908,1.63948,1.06921,0.00467,0.00467,0.00467
22,3485.96,1.59701,1.16453,1.1449,0.80598,0.6073,0.70785,0.42908,1.66137,1.80706,1.09486,0.0046535,0.0046535,0.0046535
23,3635,1.58426,1.15496,1.14329,0.81807,0.61174,0.71571,0.43644,1.60888,2.59289,1.06869,0.004637,0.004637,0.004637
24,3783.65,1.57128,1.13892,1.13944,0.81765,0.55635,0.69152,0.4007,1.72,1.88905,1.11782,0.0046205,0.0046205,0.0046205
25,3930.46,1.56971,1.15081,1.13719,0.79005,0.65584,0.74543,0.44795,1.57228,1.74696,1.05608,0.004604,0.004604,0.004604
26,4080.68,1.56496,1.12474,1.1356,0.80551,0.63073,0.72552,0.40369,1.70956,2.11822,1.08407,0.0045875,0.0045875,0.0045875
27,4229.84,1.55149,1.11742,1.1271,0.82921,0.5964,0.69168,0.37697,1.81068,2.81193,1.13136,0.004571,0.004571,0.004571
28,4379.05,1.56389,1.12794,1.13677,0.84477,0.59116,0.72236,0.40014,1.68054,1.73111,1.07024,0.0045545,0.0045545,0.0045545
29,4530.7,1.55689,1.12185,1.12444,0.814,0.62132,0.73545,0.4442,1.63026,2.3918,1.08078,0.004538,0.004538,0.004538
30,4680.65,1.54545,1.10625,1.12465,0.82157,0.61929,0.72508,0.42439,1.64641,2.30567,1.07351,0.0045215,0.0045215,0.0045215
31,4830.05,1.53746,1.09128,1.11834,0.79513,0.63044,0.73245,0.44775,1.60112,2.04958,1.06846,0.004505,0.004505,0.004505
32,4977.76,1.5301,1.09044,1.12188,0.80056,0.63573,0.74212,0.45566,1.5907,1.72141,1.05377,0.0044885,0.0044885,0.0044885
