epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.902,2.6201,2.39282,1.82716,0.60609,0.35838,0.39276,0.19704,2.28457,2.82247,1.42516,0.0684047,0.00166291,0.00166291
2,371.979,2.00831,1.74332,1.40044,0.59169,0.45279,0.48332,0.27545,2.22252,3.27811,1.39026,0.036727,0.00331859,0.00331859
3,520.454,1.88387,1.59415,1.32126,0.71441,0.47513,0.55697,0.32426,1.9679,3.91978,1.23073,0.00503835,0.00496327,0.00496327
4,670.581,1.8456,1.52026,1.28746,0.7432,0.48187,0.5723,0.3394,1.89578,3.42133,1.23622,0.0049505,0.0049505,0.0049505
5,818.863,1.78796,1.45889,1.25926,0.72927,0.5533,0.61787,0.36539,1.92398,4.49201,1.18676,0.004934,0.004934,0.004934
6,965.943,1.76842,1.42266,1.24771,0.75715,0.54416,0.6226,0.35047,1.77628,4.68833,1.14855,0.0049175,0.0049175,0.0049175
7,1110.31,1.73626,1.38399,1.23441,0.778,0.55838,0.6532,0.38621,1.81439,3.19005,1.1731,0.004901,0.004901,0.004901
8,1256.91,1.73253,1.36896,1.21889,0.77671,0.54619,0.65751,0.39242,1.76366,2.14797,1.13291,0.0048845,0.0048845,0.0048845
9,1402.74,1.70286,1.33469,1.21173,0.80324,0.54112,0.65126,0.34351,1.81774,3.48191,1.13852,0.004868,0.004868,0.004868
10,1549.61,1.69551,1.313,1.19878,0.78457,0.5868,0.67998,0.38001,1.72256,2.59927,1.10766,0.0048515,0.0048515,0.0048515
11,1695.71,1.67628,1.29155,1.19458,0.78908,0.57157,0.68096,0.39294,1.74626,3.36738,1.11857,0.004835,0.004835,0.004835
12,1842.13,1.67562,1.29266,1.19133,0.78085,0.57766,0.6788,0.40574,1.71099,3.40812,1.09657,0.0048185,0.0048185,0.0048185
