epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.848,2.58855,2.35887,1.83408,0.49611,0.32487,0.32878,0.1509,2.27224,12.2749,1.39309,0.0684047,0.00166291,0.00166291
2,313.553,2.00637,1.73459,1.41729,0.65659,0.43249,0.47574,0.26572,2.03656,4.20534,1.32021,0.036727,0.00331859,0.00331859
3,448.712,1.88273,1.59354,1.33651,0.68474,0.47817,0.55181,0.30199,1.93436,5.81201,1.23214,0.00503835,0.00496327,0.00496327
4,584.64,1.83061,1.50647,1.29926,0.74544,0.49949,0.59217,0.33975,1.88829,4.88232,1.19302,0.0049505,0.0049505,0.0049505
5,719.432,1.78094,1.45788,1.26942,0.74394,0.5269,0.61816,0.36168,1.87886,4.68607,1.18533,0.004934,0.004934,0.004934
6,853.119,1.76447,1.42184,1.26072,0.80506,0.50964,0.63705,0.37252,1.81508,2.68766,1.15881,0.0049175,0.0049175,0.0049175
7,987.656,1.73004,1.39393,1.24416,0.7722,0.55025,0.64148,0.38927,1.82789,2.81635,1.1788,0.004901,0.004901,0.004901
8,1122.66,1.72031,1.37086,1.22574,0.7803,0.57665,0.68293,0.39082,1.75244,2.41628,1.13293,0.0048845,0.0048845,0.0048845
9,1259.83,1.70491,1.34626,1.22243,0.77255,0.57157,0.66768,0.37399,1.78982,2.63786,1.13661,0.004868,0.004868,0.004868
10,1392.38,1.69162,1.32119,1.20993,0.76391,0.57816,0.67187,0.39178,1.75221,2.61848,1.1266,0.0048515,0.0048515,0.0048515
11,1528.43,1.67049,1.29497,1.20322,0.77389,0.58477,0.67163,0.40289,1.77601,3.00019,1.1562,0.004835,0.004835,0.004835
12,1663.06,1.67176,1.29774,1.20175,0.76421,0.5665,0.65178,0.36698,1.77756,6.03301,1.12346,0.0048185,0.0048185,0.0048185
13,1800.38,1.65619,1.27861,1.1924,0.80033,0.59819,0.70732,0.42881,1.72666,2.49855,1.12484,0.004802,0.004802,0.004802
14,1935.25,1.65721,1.28843,1.18941,0.76087,0.6,0.68568,0.40837,1.7215,2.77756,1.12087,0.0047855,0.0047855,0.0047855
15,2069.27,1.63548,1.24554,1.17947,0.7997,0.59177,0.68681,0.41752,1.66498,2.23922,1.09042,0.004769,0.004769,0.004769
16,2203.67,1.62781,1.24431,1.17421,0.80987,0.58883,0.70142,0.43159,1.70106,1.97534,1.11686,0.0047525,0.0047525,0.0047525
17,2336.64,1.62572,1.23752,1.17487,0.78726,0.60812,0.69525,0.42693,1.68733,3.78446,1.10448,0.004736,0.004736,0.004736
18,2473.17,1.61849,1.22259,1.1665,0.78748,0.57665,0.67903,0.41279,1.67384,2.01447,1.09735,0.0047195,0.0047195,0.0047195
19,2605.69,1.60769,1.21313,1.16333,0.81964,0.61218,0.71609,0.44449,1.68165,2.23213,1.09849,0.004703,0.004703,0.004703
