epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.086,2.59609,2.41426,1.82505,0.57926,0.35127,0.39175,0.18885,2.26736,3.31493,1.41988,0.0684047,0.00166291,0.00166291
2,439.599,2.01576,1.76455,1.41496,0.66786,0.41827,0.48916,0.28937,2.04677,3.04125,1.29992,0.036727,0.00331859,0.00331859
3,578.098,1.893,1.61023,1.34102,0.64031,0.46628,0.52342,0.27716,1.95566,5.46279,1.22349,0.00503835,0.00496327,0.00496327
4,712.2,1.84698,1.5364,1.30974,0.72977,0.49625,0.58979,0.34744,1.8477,4.08367,1.19204,0.0049505,0.0049505,0.0049505
5,845.852,1.79104,1.47571,1.27404,0.72086,0.55057,0.61165,0.36452,1.92431,7.07132,1.21975,0.004934,0.004934,0.004934
6,978.493,1.7691,1.44103,1.26447,0.77618,0.51574,0.60289,0.34762,1.77566,3.4346,1.15006,0.0049175,0.0049175,0.0049175
7,1109.66,1.73794,1.40004,1.24855,0.75891,0.53706,0.6185,0.36646,1.92087,3.54235,1.21222,0.004901,0.004901,0.004901
8,1240.53,1.73169,1.38232,1.22935,0.80379,0.53198,0.64879,0.38191,1.85688,5.01124,1.17031,0.0048845,0.0048845,0.0048845
9,1374.08,1.70819,1.35478,1.22467,0.78147,0.57868,0.67355,0.37745,1.76968,2.43164,1.14394,0.004868,0.004868,0.004868
10,1504.55,1.69708,1.33285,1.21252,0.80544,0.56244,0.66609,0.39287,1.76386,2.20015,1.12508,0.0048515,0.0048515,0.0048515
11,1636.91,1.67868,1.30871,1.20674,0.77319,0.5736,0.66806,0.39459,1.78532,5.07112,1.1391,0.004835,0.004835,0.004835
12,1767.11,1.67882,1.31106,1.20407,0.7766,0.58782,0.68113,0.41069,1.69232,3.73104,1.09464,0.0048185,0.0048185,0.0048185
13,1900.24,1.65739,1.27958,1.19101,0.78268,0.60696,0.69512,0.41081,1.75315,3.33079,1.13005,0.004802,0.004802,0.004802
14,2030.96,1.65486,1.29219,1.19066,0.78563,0.6132,0.71288,0.434,1.67052,2.33954,1.09938,0.0047855,0.0047855,0.0047855
15,2162.86,1.64295,1.25103,1.18081,0.84438,0.58579,0.7012,0.42078,1.67829,2.09261,1.08674,0.004769,0.004769,0.004769
16,2293.09,1.63793,1.24517,1.17757,0.80405,0.57056,0.70298,0.41699,1.68374,1.92559,1.09324,0.0047525,0.0047525,0.0047525
17,2424.17,1.62704,1.24196,1.1766,0.82055,0.6,0.71681,0.44535,1.68995,1.79602,1.10556,0.004736,0.004736,0.004736
18,2555.19,1.62818,1.22956,1.17213,0.84199,0.5665,0.68622,0.40606,1.6834,2.49728,1.0898,0.0047195,0.0047195,0.0047195
19,2686.51,1.61234,1.2234,1.16574,0.80509,0.61645,0.72769,0.45657,1.68412,1.65264,1.08711,0.004703,0.004703,0.004703
20,2816.88,1.61815,1.21515,1.16476,0.78665,0.57868,0.6888,0.42553,1.66229,1.89162,1.10428,0.0046865,0.0046865,0.0046865
21,2949.22,1.6063,1.20267,1.15699,0.81422,0.61929,0.7288,0.41563,1.65898,1.87862,1.07909,0.00467,0.00467,0.00467
22,3078.45,1.60574,1.19977,1.16134,0.81596,0.60314,0.70974,0.42885,1.66907,1.96971,1.09274,0.0046535,0.0046535,0.0046535
23,3210.37,1.60226,1.18911,1.15719,0.8183,0.6,0.70561,0.37925,1.67477,1.74964,1.07477,0.004637,0.004637,0.004637
