epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.181,2.87155,2.17342,1.57844,0.56392,0.32183,0.34174,0.15648,2.54129,17.2583,1.09332,0.0684047,0.00166291,0.00166291
2,331.063,2.11893,1.52102,1.21397,0.68311,0.39898,0.46763,0.25731,2.58405,6.6115,1.12805,0.036727,0.00331859,0.00331859
3,440.573,1.97856,1.38846,1.15829,0.69789,0.41117,0.48879,0.26581,2.31004,3.37895,1.0418,0.00503835,0.00496327,0.00496327
4,550.942,1.91181,1.31105,1.12999,0.77623,0.46294,0.55653,0.29754,2.08697,2.59509,0.99652,0.0049505,0.0049505,0.0049505
5,661.268,1.84893,1.25323,1.10844,0.75308,0.48304,0.58378,0.34397,2.10595,2.96544,1.00928,0.004934,0.004934,0.004934
6,772.626,1.81435,1.22618,1.09951,0.7885,0.47312,0.5975,0.30864,2.06843,2.17367,0.98351,0.0049175,0.0049175,0.0049175
7,883.045,1.77469,1.19447,1.09038,0.7812,0.51471,0.59891,0.35077,2.15942,2.91828,1.01349,0.004901,0.004901,0.004901
8,991.426,1.76542,1.17861,1.07519,0.80173,0.53198,0.63265,0.37054,2.11442,2.30849,1.00723,0.0048845,0.0048845,0.0048845
9,1100.83,1.73647,1.14481,1.07141,0.78587,0.52792,0.6202,0.35031,2.12971,3.5783,0.99545,0.004868,0.004868,0.004868
10,1209.83,1.73261,1.13843,1.06815,0.78245,0.52589,0.63802,0.36946,1.98123,2.1239,0.98144,0.0048515,0.0048515,0.0048515
11,1318.96,1.70625,1.10903,1.06104,0.8314,0.51472,0.62947,0.36287,1.94897,3.43078,0.97254,0.004835,0.004835,0.004835
12,1425.24,1.71776,1.12143,1.06456,0.79459,0.55765,0.65386,0.37674,1.93552,2.83308,0.96816,0.0048185,0.0048185,0.0048185
13,1533.99,1.6883,1.08849,1.05273,0.80587,0.59797,0.68809,0.407,1.97709,2.24094,0.97182,0.004802,0.004802,0.004802
14,1642.25,1.68636,1.09569,1.052,0.78216,0.59594,0.67608,0.3868,1.89416,2.80901,0.9582,0.0047855,0.0047855,0.0047855
15,1748.08,1.67324,1.07003,1.04668,0.83117,0.54416,0.66406,0.4006,1.96156,2.32423,0.97945,0.004769,0.004769,0.004769
16,1856.22,1.65775,1.06538,1.04513,0.80267,0.58274,0.67759,0.39397,1.87209,2.52115,0.96731,0.0047525,0.0047525,0.0047525
